"","prediction.score.pancreatic.D.cell","prediction.score.pancreatic.A.cell","prediction.score.pancreatic.PP.cell","prediction.score.pancreatic.ductal.cell","prediction.score.pancreatic.acinar.cell","prediction.score.type.B.pancreatic.cell","prediction.score.pancreatic.stellate.cell","prediction.score.endothelial.cell","prediction.score.pancreatic.epsilon.cell","prediction.score.mast.cell","prediction.score.max"
"0",0,0,0,0,1,0,0,0,0,0,1
"1",0.0368073737395811,0.0287412408137,0,0.876989895564335,0.0119317150625321,0.0165276688591728,0,0,0,0.0290021059606793,0.876989895564335
"2",0,0.00229914167854018,0,0.0327542685050505,0.30282276411497,0,0.660750198470758,0,0,0.0013736272306818,0.660750198470758
"3",0,0,0,0,0.99665234025659,0.00334765974340986,0,0,0,0,0.99665234025659
"4",0.435220314212709,0.0224330657167043,0.0437773355907396,0.0109381076312713,0,0.487631176848576,0,0,0,0,0.487631176848576
"5",0,0.0632374089591783,0,0.00793565967348105,0.928826931367341,0,0,0,0,0,0.928826931367341
"6",0.272995243892749,0,0.0546917664460747,0,0,0.672312989661176,0,0,0,0,0.672312989661176
"7",0,0.0373863060776022,0.0445027470538979,0,0,0,0.908188750341088,0,0,0.00992219652741205,0.908188750341088
"8",0,0.0203056060035393,0,0.925010289403878,0.0134669500739532,0.00961143089457755,0,0,0,0.0316057236240522,0.925010289403878
"9",0,0.0208333879496032,0,0.947760501371515,0.0100336606128634,0.0120048734407074,0,0,0,0.00936757662531157,0.947760501371515
"10",0,0,0,0.200321801339856,0.799678198660145,0,0,0,0,0,0.799678198660145
"11",0,0.00259332199574874,0,0,0.993395446254906,0.0040112317493444,0,0,0,0,0.993395446254906
"12",0.172516186519773,0.22275508511887,0.0414047234911226,0,0,0.563324004870235,0,0,0,0,0.563324004870235
"13",0.16089177882422,0.710110850624691,0.0829556028061388,0,0,0.00978111824012374,0,0,0,0.0362606495048259,0.710110850624691
"14",0,0.00175769889176182,0,0.0431850250521674,0,0,0.915565205564835,0.0248830253151541,0,0.0146090451760819,0.915565205564835
"15",0.241848462584063,0.0520107899365901,0.706140747479346,0,0,0,0,0,0,0,0.706140747479346
"16",0.281413320055354,0,0.0633586345169122,0,0,0.655228045427733,0,0,0,0,0.655228045427733
"17",0,0,0,0,1,0,0,0,0,0,1
"18",0,0,0,0.0200593336876546,0.916665249274043,0.00351337207476923,0,0.0597620449635341,0,0,0.916665249274043
"19",0,0.0442255606769269,0,0,0.955774439323073,0,0,0,0,0,0.955774439323073
"20",0.0562875630700376,0.308942239719182,0.482290854142894,0,0,0.152479343067887,0,0,0,0,0.482290854142894
"21",0,0.332158006603471,0.115899913669202,0.141856852284631,0.359830303492669,0,0,0,0,0.0502549239500261,0.359830303492669
"22",0,0.00739528970624412,0,0.52554872513349,0.467055985160265,0,0,0,0,0,0.52554872513349
"23",0,0.00850777337630078,0,0.899477088058357,0.0884224560243192,0,0,0,0,0.00359268254102355,0.899477088058357
"24",0,0.00376738317380671,0,0,0.996232616826193,0,0,0,0,0,0.996232616826193
"25",0,0,0,0,1,0,0,0,0,0,1
"26",0,0,0,0,1,0,0,0,0,0,1
"27",0,0,0,0,0.999999999999999,0,0,0,0,0,0.999999999999999
"28",0,0,0,0.607669559503778,0.392330440496222,0,0,0,0,0,0.607669559503778
"29",0,0.00226461092203381,0,0.0100728713503091,0.74793095547821,0.00273317224575424,0,0.236998390003693,0,0,0.74793095547821
"30",0,0,0,0,1,0,0,0,0,0,1
"31",0,0.0843281270540028,0.0286492300770569,0,0.881559324400656,0.00546331846828417,0,0,0,0,0.881559324400656
"32",0,0.00980151544005903,0,0.703136042314352,0.259857314415786,0,0,0,0,0.0272051278298022,0.703136042314352
"33",0.476070602849431,0.00781979729381107,0.149380775709345,0,0,0.366728824147412,0,0,0,0,0.476070602849431
"34",0,0.913723627829663,0.0862763721703368,0,0,0,0,0,0,0,0.913723627829663
"35",0.25646347444346,0.352903511974618,0.390633013581922,0,0,0,0,0,0,0,0.390633013581922
"36",0.140031807194224,0.524013835309774,0,0.278705890900253,0,0,0,0,0,0.0572484665957491,0.524013835309774
"37",0,0.00315397852712939,0,0,0.993344114890258,0.00350190658261239,0,0,0,0,0.993344114890258
"38",0.146719858960209,0.678487321185321,0.0415202756760241,0,0,0.133272544178445,0,0,0,0,0.678487321185321
"39",0.0724313700144453,0.00833539604327461,0.449627858229057,0,0.334111839753315,0.135493535959908,0,0,0,0,0.449627858229057
"40",0,0.141610329074071,0.49100813967755,0,0.309667992516194,0.00954279792565391,0,0.0481707408065309,0,0,0.49100813967755
"41",0,0,0,0,1,0,0,0,0,0,1
"42",0,0,0,0,0.966537975965732,0,0.0334620240342676,0,0,0,0.966537975965732
"43",0.145596481441374,0.75238646241269,0,0,0,0.102017056145935,0,0,0,0,0.75238646241269
"44",0.290065610346573,0.345061388367471,0.248604702422641,0,0,0.116268298863316,0,0,0,0,0.345061388367471
"45",0,0,0,0,1,0,0,0,0,0,1
"46",0,0,0,0.0297867281957807,0,0,0.92431382045167,0.0458994513525491,0,0,0.92431382045167
"47",0.328136311457553,0.607952965723165,0,0,0,0.0639107228192821,0,0,0,0,0.607952965723165
"48",0,0,0,0,1,0,0,0,0,0,1
"49",0,0.317643124492969,0.459812570010573,0.121809580478624,0.0499209152546406,0,0,0,0,0.0508138097631933,0.459812570010573
"50",0,0,0,0,1,0,0,0,0,0,1
"51",0.5661779384829,0.0358407483821091,0,0.332932616641118,0,0.020292073587926,0,0,0,0.0447566229059473,0.5661779384829
"52",0,0.60967560697468,0.0649998085924579,0,0,0.325324584432863,0,0,0,0,0.60967560697468
"53",0.250520514771907,0.433416001743782,0.255679127934117,0,0,0.0603843555501939,0,0,0,0,0.433416001743782
"54",0.0565412463823696,0,0.330708924879321,0,0,0.612749828738309,0,0,0,0,0.612749828738309
"55",0,0.0140189712473694,0,0.918558684604806,0.0635520075186034,0,0,0,0,0.00387033662922058,0.918558684604806
"56",0.491190287741472,0.0883234752265391,0,0,0,0.413427449892467,0,0,0,0.00705878713952151,0.491190287741472
"57",0.0783692946159534,0.00595735701133303,0.375359814377479,0,0.404400813965966,0.135912720029269,0,0,0,0,0.404400813965966
"58",0,0.0262649484092011,0,0,0.96738629035617,0.00634876123462942,0,0,0,0,0.96738629035617
"59",0,0,0,0,0,0,0.937480424964965,0.0625195750350347,0,0,0.937480424964965
"60",0.415261096922619,0,0.0106434006561076,0,0,0.574095502421273,0,0,0,0,0.574095502421273
"61",0,0.0177654642069236,0,0.85468798804361,0.097570381503115,0,0,0,0,0.0299761662463516,0.85468798804361
"62",0.141931918495945,0.679908478702955,0.0903951846540752,0,0,0.0877644181470244,0,0,0,0,0.679908478702955
"63",0,0.00333963260060912,0,0,0.996660367399391,0,0,0,0,0,0.996660367399391
"64",0,0,0,0,1,0,0,0,0,0,1
"65",0,0.34959020431665,0.048723528482041,0.138616687681223,0.258644462637963,0.159505738875238,0,0,0,0.0449193780068858,0.34959020431665
"66",0,0,0,0,0.996558897857661,0.00344110214233868,0,0,0,0,0.996558897857661
"67",0,0.91495666209318,0.0850433379068198,0,0,0,0,0,0,0,0.91495666209318
"68",0.210341459910525,0.00619162015109285,0.64575980978319,0,0,0.137707110155193,0,0,0,0,0.64575980978319
"69",0,0,0,0,1,0,0,0,0,0,1
"70",0,0.905567264619648,0.046057083250601,0,0,0.0483756521297508,0,0,0,0,0.905567264619648
"71",0.439149267397166,0.0605247148145077,0.0249526426189899,0,0,0.475373375169336,0,0,0,0,0.475373375169336
"72",0,0,0,0.473511225357364,0.227639713667301,0,0.298849060975334,0,0,0,0.473511225357364
"73",0,0,0,0.0152157345963758,0.984784265403624,0,0,0,0,0,0.984784265403624
"74",0,0,0,0,0.996231537794666,0.00376846220533393,0,0,0,0,0.996231537794666
"75",0.297000581826257,0.530442053787781,0.172557364385961,0,0,0,0,0,0,0,0.530442053787781
"76",0.0292160813269774,0.00331801384420886,0.0204424993073249,0,0,0.0146764483346022,0.0326396064572601,0.894205668288308,0,0.00550168244131805,0.894205668288308
"77",0.11518311295836,0.814866415877824,0.0618175703660762,0,0,0.00813290079773884,0,0,0,0,0.814866415877824
"78",0,0.00382312375480046,0,0.00826988229591826,0,0,0.97763350219319,0.00828163419859493,0,0.00199185755749676,0.97763350219319
"79",0,0,0,0,1,0,0,0,0,0,1
"80",0.0486698014601461,0.00361929670095314,0.0337949938534883,0,0.899911667550211,0.0140042404352012,0,0,0,0,0.899911667550211
"81",0.300778807556628,0.00518790736611673,0.501923615209752,0,0,0.0856213608270079,0.106488309040496,0,0,0,0.501923615209752
"82",0,0,0,0,0.0227060962060729,0,0.926732339048839,0.0505615647450876,0,0,0.926732339048839
"83",0,0,0,0,1,0,0,0,0,0,1
"84",0.0330567924006099,0.164449555406739,0.141461768781359,0,0,0.661031883411292,0,0,0,0,0.661031883411292
"85",0.655897376560037,0,0.0131014776916456,0,0,0.306605302910966,0.0243958428373509,0,0,0,0.655897376560037
"86",0,0,0,0.875126789856283,0.122174957183817,0,0,0,0,0.00269825295990017,0.875126789856283
"87",0.289612362521576,0.0507891514393809,0,0,0,0.659598486039043,0,0,0,0,0.659598486039043
"88",0,0,0,0.0504627800855083,0.949537219914492,0,0,0,0,0,0.949537219914492
"89",0,0.274992234208925,0,0.162526739861032,0.518597024820034,0,0,0,0,0.0438840011100094,0.518597024820034
"90",0.178987952616004,0.28363536712341,0.025684060287264,0,0,0.511692619973322,0,0,0,0,0.511692619973322
"91",0,0.0115755021073499,0,0.0885180600031815,0.898073015633261,0,0,0,0,0.00183342225620683,0.898073015633261
"92",0.120924415061095,0.785285897637173,0.0636382540909989,0,0,0,0,0,0,0.0301514332107322,0.785285897637173
"93",0.0913043108601989,0.870965762155232,0,0,0,0.0377299269845684,0,0,0,0,0.870965762155232
"94",0.436121722085425,0,0,0,0,0.481091706343061,0,0.0827865715715144,0,0,0.481091706343061
"95",0,0,0,0,0.983385390257169,0,0,0.0166146097428309,0,0,0.983385390257169
"96",0.501055627877614,0.0165985820921039,0.0968574267411136,0.00730420473258688,0,0.0735916328178833,0.284184235849702,0,0,0.0204082898889963,0.501055627877614
"97",0.28591838258819,0.304582687968227,0.290077459523403,0,0,0.119421469920179,0,0,0,0,0.304582687968227
"98",0,0,0,0.0200281445653272,0.979971855434673,0,0,0,0,0,0.979971855434673
"99",0,0.00267674766232813,0,0,0.994667153888132,0.00265609844953959,0,0,0,0,0.994667153888132
"100",0.41077620609723,0.288560129853147,0.275938350069326,0,0,0.024725313980297,0,0,0,0,0.41077620609723
"101",0,0,0,0.678159445698084,0.321840554301916,0,0,0,0,0,0.678159445698084
"102",0,0,0,0,0.957518654435925,0,0,0.0424813455640746,0,0,0.957518654435925
"103",0.513763767672791,0,0.011705359238568,0,0,0.474530873088641,0,0,0,0,0.513763767672791
"104",0.590451066016852,0.0240822128635796,0,0.334059238812026,0,0.0211835919147638,0,0,0,0.0302238903927787,0.590451066016852
"105",0.208011050330034,0,0.109276877681206,0,0,0.68271207198876,0,0,0,0,0.68271207198876
"106",0.0357519578036167,0.00468327361084049,0.0188561024258478,0,0,0,0.0474455240217844,0.884806182666234,0,0.00845695947167705,0.884806182666234
"107",0,0,0,0,1,0,0,0,0,0,1
"108",0,0.00847660759111157,0,0.896780003772773,0.09149348929867,0,0,0,0,0.00324989933744585,0.896780003772773
"109",0,0,0,0.504719509072822,0.495280490927178,0,0,0,0,0,0.504719509072822
"110",0.58051263864347,0.243864879195336,0.175622482161194,0,0,0,0,0,0,0,0.58051263864347
"111",0.261848894028868,0,0.0762748565923839,0,0,0.661876249378748,0,0,0,0,0.661876249378748
"112",0.225814791972333,0.667700392848154,0,0,0,0.0707196932613809,0,0,0,0.0357651219181328,0.667700392848154
"113",0,0.00169601747446504,0,0,0,0,0.294528351321474,0.692710280845937,0,0.0110653503581241,0.692710280845937
"114",0.127390792237202,0.0939052902931149,0.0114389541986238,0,0,0.488722608612084,0.278542354658975,0,0,0,0.488722608612084
"115",0,0.0191794268277644,0,0.863209641566541,0.0847083215637969,0,0,0,0,0.0329026100418973,0.863209641566541
