"","prediction.score.Exc.L2.3.RORB.CCDC68","prediction.score.Inh.L3.5.VIP.TAC3","prediction.score.Exc.L5.6.FEZF2.FILIP1L","prediction.score.Exc.L5.THEMIS.SLC22A18","prediction.score.Exc.L6.THEMIS.SNTG2","prediction.score.OPC.L1.6.PDGFRA.COL20A1","prediction.score.Exc.L5.6.FEZF2.C9orf135.AS1","prediction.score.Oligo.L2.6.OPALIN.FTH1P3","prediction.score.Inh.L5.6.PVALB.GAPDHP60","prediction.score.Exc.L3.5.RORB.LNX2","prediction.score.Inh.L3.5.VIP.IGDCC3","prediction.score.Inh.L1.3.SST.FAM20A","prediction.score.Exc.L5.6.FEZF2.IFNG.AS1","prediction.score.Inh.L5.6.PVALB.ZFPM2.AS1","prediction.score.Inh.L1.3.VIP.FNDC1","prediction.score.Exc.L2.LINC00507.GLRA3","prediction.score.Inh.L1.LAMP5.NMBR","prediction.score.Inh.L5.6.LAMP5.CRABP1","prediction.score.Exc.L5.6.FEZF2.SH2D1B","prediction.score.Inh.L1.2.SST.CLIC6","prediction.score.Exc.L3.LAMP5.CARM1P1","prediction.score.Inh.L5.SST.RPL35AP11","prediction.score.Astro.L1.6.FGFR3.PLCG1","prediction.score.Inh.L1.LAMP5.RAB11FIP1","prediction.score.Exc.L3.RORB.OTOGL","prediction.score.Exc.L6.THEMIS.LINC00343","prediction.score.Inh.L1.LAMP5.BMP2","prediction.score.Micro.L1.6.TYROBP.CD74","prediction.score.Exc.L6.FEZF2.KLK7","prediction.score.Inh.L5.PVALB.LRIG3","prediction.score.Inh.L1.5.VIP.SMOC1","prediction.score.Inh.L2.5.PVALB.HHIPL1","prediction.score.Inh.L1.6.LAMP5.AARD","prediction.score.Exc.L3.THEMIS.ENPEP","prediction.score.Inh.L1.PAX6.MIR101.1","prediction.score.Exc.L3.5.RORB.RPRM","prediction.score.Inh.L5.6.SST.ISX","prediction.score.Inh.L5.6.SST.C4orf26","prediction.score.Inh.L1.PVALB.SST.ASIC4","prediction.score.Exc.L5.THEMIS.LINC01116","prediction.score.Inh.L1.6.PVALB.COL15A1","prediction.score.Oligo.L3.6.OPALIN.LRP4.AS1","prediction.score.Exc.L3.5.FEZF2.ASGR2","prediction.score.Inh.L1.2.SST.CCNJL","prediction.score.Exc.L2.3.LINC00507.DSG3","prediction.score.Exc.L5.RORB.MED8","prediction.score.Inh.L2.5.PVALB.RPH3AL","prediction.score.Inh.L3.5.SST.GGTLC3","prediction.score.Oligo.L5.6.OPALIN.LDLRAP1","prediction.score.Inh.L5.6.SST.KLHL1","prediction.score.Inh.L1.6.LAMP5.CA1","prediction.score.Oligo.L3.6.OPALIN.ENPP6","prediction.score.Inh.L1.2.VIP.HTR3A","prediction.score.Exc.L5.6.THEMIS.SMYD1","prediction.score.Astro.L1.FGFR3.SERPINI2","prediction.score.Inh.L3.PVALB.SAMD13","prediction.score.Inh.L5.6.PVALB.MEPE","prediction.score.Inh.L3.5.VIP.HS3ST3A1","prediction.score.Inh.L2.PAX6.FREM2","prediction.score.Exc.L3.5.RORB.LINC01202","prediction.score.Exc.L6.FEZF2.POGK","prediction.score.Exc.L6.FEZF2.FFAR4","prediction.score.Exc.L6.THEMIS.SLN","prediction.score.Exc.L6.FEZF2.PROKR2","prediction.score.Exc.L5.6.THEMIS.TNFAIP6","prediction.score.Inh.L1.5.VIP.PHLDB3","prediction.score.Inh.L2.PVALB.FRZB","prediction.score.Exc.L5.THEMIS.VILL","prediction.score.Inh.L5.6.PVALB.SST.CRHR2","prediction.score.Inh.L3.5.PVALB.ISG20","prediction.score.Exc.L5.6.FEZF2.LPO","prediction.score.Exc.L3.5.RORB.TNNT2","prediction.score.Inh.L1.2.VIP.WNT4","prediction.score.Inh.L1.SST.DEFB108B","prediction.score.Endo.L2.5.NOSTRIN.SRGN","prediction.score.Inh.L5.6.SST.PAWR","prediction.score.Inh.L1.VIP.KLHDC8B","prediction.score.Exc.L2.3.RORB.PTPN3","prediction.score.Inh.L5.6.SST.BEAN1","prediction.score.Inh.L1.6.LAMP5.NES","prediction.score.Exc.L2.LAMP5.KCNG3","prediction.score.Exc.L5.THEMIS.FGF10","prediction.score.Exc.L2.3.RORB.RTKN2","prediction.score.Exc.L5.FEZF2.NREP.AS1","prediction.score.Inh.L5.6.PVALB.KCNIP2","prediction.score.Inh.L2.VIP.SLC6A16","prediction.score.Inh.L5.6.SST.PIK3CD","prediction.score.Inh.L1.3.VIP.CBLN1","prediction.score.Inh.L6.SST.TH","prediction.score.Astro.L1.6.FGFR3.AQP1","prediction.score.Exc.L5.THEMIS.RGPD6","prediction.score.Exc.L5.6.FEZF2.OR1L8","prediction.score.Exc.L5.FEZF2.RNF144A.AS1","prediction.score.Inh.L2.3.SST.NMU","prediction.score.Inh.L3.5.SST.CDH3","prediction.score.Inh.L1.2.VIP.EXPH5","prediction.score.Inh.L3.5.SST.OR5AH1P","prediction.score.Inh.L1.PAX6.CHRFAM7A","prediction.score.Inh.L1.3.VIP.HSPB6","prediction.score.Exc.L5.FEZF2.PKD2L1","prediction.score.Inh.L1.2.PVALB.CDK20","prediction.score.Inh.L3.6.VIP.ZIM2.AS1","prediction.score.Exc.L5.FEZF2.CSN1S1","prediction.score.Oligo.L2.6.OPALIN.MAP6D1","prediction.score.Inh.L1.SST.P4HA3","prediction.score.Inh.L3.6.VIP.UG0898H09","prediction.score.Inh.L1.3.VIP.CHRNA2","prediction.score.Inh.L1.2.VIP.PTGER3","prediction.score.Inh.L5.6.PVALB.FAM150B","prediction.score.Exc.L2.LINC00507.ATP7B","prediction.score.Inh.L1.6.SST.NPY","prediction.score.Inh.L2.5.VIP.BSPRY","prediction.score.Inh.L1.2.SST.PRRT4","prediction.score.Exc.L5.6.FEZF2.CFTR","prediction.score.Inh.L5.6.VIP.COL4A3","prediction.score.Inh.L1.2.VIP.SCML4","prediction.score.Inh.L3.6.PAX6.LINC01497","prediction.score.Exc.L6.FEZF2.PDYN","prediction.score.Inh.L1.LAMP5.PVRL2","prediction.score.Inh.L1.6.VIP.SLC7A6OS","prediction.score.Inh.L2.5.VIP.SOX11","prediction.score.VLMC.L1.5.PDGFRA.COLEC12","prediction.score.Exc.L3.5.RORB.LAMA4","prediction.score.Inh.L1.5.VIP.LINC01013","prediction.score.Inh.L5.6.SST.FBN2","prediction.score.Inh.L1.5.VIP.CD27.AS1","prediction.score.Exc.L3.5.FEZF2.LINC01107","prediction.score.Inh.L5.6.SST.DNAJC14","prediction.score.max"
"0",0.187964500245204,0,0,0,0,0,0.0631160492065819,0,0,0,0,0,0,0,0,0.408365157137115,0,0,0,0,0,0,0,0,0.0228292562525273,0.0147568325917071,0,0,0.0216831532814338,0,0,0,0,0,0,0.149293686251639,0,0,0,0,0,0,0,0,0.0237913221399501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243468682763205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263122229387046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575409516788166,0,0,0,0,0,0.408365157137115
"1",0,0,0,0,0,0,0,0,0.0268105129333509,0,0,0,0,0.077990016824063,0,0.0376836858216798,0,0.121352255072598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107681015609011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259341725183973,0.00209650025632063,0,0,0.399862020640212,0,0,0,0,0.00967866409748769,0,0,0,0,0,0,0,0,0,0,0,0,0.00585082154313122,0,0,0,0,0,0,0,0,0,0.0316486020801493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169170939861336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399862020640212
"2",0.161286103786998,0,0.00204550898066476,0,0,0,0.221503191570143,0,0,0.0857706482864509,0,0,0,0,0,0.180208860892303,0,0,0.0298946685949293,0,0,0,0,0,0.0135851294908129,0,0,0,0.0179484156538141,0,0,0,0,0,0,0.0954428712863915,0,0,0,0,0,0,0,0,0.0121380880958783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00910344836263047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051613830666024,0,0,0,0,0,0,0,0,0,0,0,0,0.0793114227534637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401478115794959,0,0,0,0,0,0.221503191570143
"3",0.115809504992347,0,0,0,0,0,0.161815767650785,0,0,0.0499543561344168,0,0,0,0,0,0.146427714920474,0,0,0.0339409353074747,0,0.0131370197350148,0,0,0,0.049911120823257,0.0367230277113572,0,0,0.0728171960937891,0,0,0,0,0,0,0.0238625401361744,0,0,0,0,0,0,0,0,0.0133143759206658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0934413806078718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161293540289773,0,0,0,0,0,0,0,0,0,0,0,0,0.0275515196765999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161815767650785
"4",0.00652935805835393,0,0,0,0,0,0,0,0.0327112000668497,0,0,0.00708803999845889,0,0.219171934619395,0,0.0163850949091115,0,0,0,0,0.00810478031501428,0,0,0,0.00890759579361042,0,0,0,0.00767545082814247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44691311799422,0,0,0,0.024336082007916,0,0,0,0,0.0965653547625499,0,0,0,0.0100469364445025,0,0,0,0,0,0,0,0,0.00376912995065804,0,0,0,0,0,0,0,0,0,0.0657694272561213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460264969950959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44691311799422
"5",0,0,0,0,0,0,0,0,0.053033221353948,0,0,0,0,0.207500200128253,0,0.00623229577261738,0,0,0,0.0149852755825887,0.000910073471059566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455361602985282,0,0,0,0.0155442605877252,0,0,0,0,0.0692416590116426,0,0,0,0,0,0,0,0,0,0,0,0,0.004912681066953,0,0,0,0,0,0,0,0,0,0.112552990756402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179806606286844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417450786548442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455361602985282
"6",0,0,0,0,0,0,0,0,0.030803258483934,0,0,0.00341998624752642,0,0.219320320185003,0,0.0322909840753636,0,0,0,0,0.00612931938413195,0,0,0,0,0,0,0,0.00779280847810773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00777103150431719,0,0.450644113934264,0,0,0,0,0,0,0,0,0.108293253131748,0,0,0,0.00745535745403501,0,0,0,0,0,0,0,0,0.00594558490969804,0,0,0,0,0,0,0,0,0,0.0735869493654903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465470328463796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450644113934264
"7",0.173624962899417,0,0,0,0,0,0.062344341308273,0,0,0.024421432686953,0,0,0,0,0,0.273486543111231,0,0,0,0,0,0,0,0,0.0394068848289167,0.0193316489339074,0,0,0,0,0,0,0,0,0,0.138985100149971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0740744737148127,0,0,0,0,0,0,0,0,0,0,0,0.00770129115602197,0,0,0,0,0,0.126902791135762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597205300747349,0,0,0,0,0,0.273486543111231
"8",0,0,0,0,0,0,0,0,0.0442541467431669,0,0,0.00898686441229694,0,0.206813818843478,0.00573627980328439,0.0141689036153025,0,0,0,0.0256985658812324,0.00131363206928558,0,0,0,0.0194315861188255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401659712433029,0,0,0,0.0427823766582704,0,0,0,0,0.0772003884651721,0,0,0,0.00962955935792066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0963126246325793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460115409661564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401659712433029
"9",0.0233979246931742,0,0,0,0,0,0,0,0.0205755341157889,0,0,0,0,0.230957137828749,0,0.00748777805504427,0,0,0,0,0.00887236026682781,0,0,0,0.00847312597851872,0,0,0,0.00774624346290886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450219380401188,0,0,0,0,0,0,0,0,0.0969687275641954,0,0,0,0.0141316292976995,0,0,0,0,0,0,0,0,0.00392154060710324,0,0,0,0,0,0,0,0,0,0.062396363556431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0567899528652156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00806230130715558,0,0,0,0,0,0.450219380401188
