"","prediction.score.L4_5.IT.CTX","prediction.score.L2_3.IT.CTX","prediction.score.L5.NP.CTX","prediction.score.Sst.Chodl","prediction.score.Car3","prediction.score.L6.CT.CTX","prediction.score.Sst","prediction.score.L5_6.IT.CTX","prediction.score.L6.IT.CTX","prediction.score.Pvalb","prediction.score.Lamp5","prediction.score.DG","prediction.score.L2_3.IT.RSPv","prediction.score.L6b_CT.ENT","prediction.score.L4.RSP.ACA","prediction.score.Vip","prediction.score.L5.PT.CTX","prediction.score.L5.IT.CTX","prediction.score.Oligo","prediction.score.L2_3.IT.RSP","prediction.score.CA1.ProS","prediction.score.Micro.PVM","prediction.score.Sncg","prediction.score.L2.IT.ENTl","prediction.score.SUB.ProS","prediction.score.L2_3.IT.APr","prediction.score.NP.PPP","prediction.score.L2_3.IT.PPP","prediction.score.L3.IT.ENTm","prediction.score.L6b.CTX","prediction.score.Astro","prediction.score.NP.SUB","prediction.score.CA1","prediction.score.L3.IT.ENTl","prediction.score.L2_3.IT.ENTl","prediction.score.CT.SUB","prediction.score.L2_3.IT.HATA","prediction.score.Lamp5.Lhx6","prediction.score.Endo","prediction.score.L6.IT.ENTl","prediction.score.L5.IT.TPE.ENT","prediction.score.Meis2.HPF","prediction.score.L2.IT.PAR","prediction.score.L5.NP.CT.CTX.","prediction.score.L5.PPP","prediction.score.Pax6","prediction.score.Ndnf.HPF","prediction.score.L2.IT.ENTm","prediction.score.CA3","prediction.score.L2_3.IT.ProS","prediction.score.CA2.IG.FC","prediction.score.SUB","prediction.score.SMC.Peri","prediction.score.CR","prediction.score.max"
"0",0,0,0,0,0,0.533169542663396,0,0.0592098303112309,0.0144930586141538,0,0,0,0,0,0,0,0,0.3852163554221,0,0,0,0,0,0,0,0,0,0,0,0.00791121298911843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533169542663396
"1",0,0,0,0,0,0,0.0364275242973664,0,0,0.0474169836834786,0.840789737166222,0,0,0,0,0.0176754657284575,0,0,0,0,0,0,0.00756808345524224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371041128731241,0,0,0,0,0,0,0,0,0.0130180927961091,0,0,0,0,0,0,0,0.840789737166222
"2",0.0106899020053267,0.0390607989371871,0,0,0.835393110890463,0,0,0,0.0913186243900408,0,0,0,0,0,0,0,0,0.0110393757748448,0,0.0027816760410907,0,0,0,0,0,0,0,0,0,0.00971651196104676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835393110890463
"3",0,0,0,0,0,0,0,0,0,0,0.929121917767297,0,0,0,0,0.0303614400254828,0,0,0,0,0,0,0.0146199924447693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156827514287989,0,0,0,0,0,0,0,0,0.0102138983336522,0,0,0,0,0,0,0,0.929121917767297
"4",0.0732965193149021,0,0.0100858579907841,0,0,0,0.0227161726465034,0,0,0.601309184253111,0,0,0,0,0,0,0.292592265794699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601309184253111
"5",0,0,0,0,0,0.574127610805492,0,0.00405327362778436,0.343138098612525,0,0,0,0,0,0,0,0.0353623543974149,0.00610174406914978,0,0.00274929293963118,0,0,0,0,0,0,0,0,0,0.0222941533708282,0,0,0,0,0,0,0,0,0,0,0.0121734721771743,0,0,0,0,0,0,0,0,0,0,0,0,0,0.574127610805492
"6",0.256906430075923,0,0,0,0,0.224649116801095,0,0.100062734641335,0.0117587546499303,0,0,0,0,0,0,0,0,0.406622963831716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406622963831716
"7",0,0,0,0,0,0,0,0,0,0,0.043429988361382,0,0,0,0,0.952989850762173,0,0,0,0,0,0,0.00358016087644437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952989850762173
"8",0.148612729276578,0,0,0,0,0.456980515483183,0,0.0803125653662938,0.0796155877745013,0,0,0,0,0,0,0,0,0.229088253485141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00539034861430298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456980515483183
"9",0,0.725297806494693,0,0,0.108986042914706,0.0446741594573815,0,0.0464457548279699,0.0745962363052499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725297806494693
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130823922171597,0,0,0,0,0,0,0,0,0,0,0,0.858294243083264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010881834745139,0,0.858294243083264
"11",0.398659177440326,0.0624487697491141,0,0,0,0,0,0.0225994295614229,0.115684362908302,0,0,0.054916424589518,0,0,0,0.0896458448874218,0.138524632507011,0.117521358356884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398659177440326
"12",0,0,0,0,0,0,0.0901928339502929,0,0,0,0.0356482144290886,0,0,0,0,0.869351831272432,0,0,0,0,0,0,0.00284156307081781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00196555727736878,0,0,0,0,0,0,0,0.869351831272432
"13",0,0,0,0,0,0,0,0,0,0,0.331446668881506,0,0,0,0,0.0944559868937004,0,0,0,0,0,0,0.564469220824969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00962812339982489,0,0,0,0,0,0,0,0.564469220824969
"14",0.0632198013717538,0,0,0,0,0,0,0,0.0626662440703715,0,0.0401880391055897,0.0275436368926004,0,0,0,0.692729473230272,0.0557760059421132,0,0,0,0,0,0.0578767993872994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.692729473230272
"15",0,0.158033006429357,0,0,0,0,0,0,0.381229004547334,0,0,0.0531982121832177,0.0167870675410788,0,0,0.0311997087288503,0.1904841035912,0,0,0.0559155576451607,0,0,0,0,0,0,0,0,0,0,0,0,0.105193936424485,0,0,0,0,0,0,0,0.0079594029093163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381229004547334
