"","prediction.score.NK","prediction.score.CD4_T","prediction.score.Alveolar_Type_2","prediction.score.CD8_T","prediction.score.Monocytes","prediction.score.Macrophage","prediction.score.Alveolar_Type_1","prediction.score.Endothelial","prediction.score.DC","prediction.score.Fibroblast","prediction.score.Mast","prediction.score.B_cells","prediction.score.Muscle_cells","prediction.score.Proliferating_NK_T","prediction.score.Ciliated","prediction.score.Plasma","prediction.score.Club.cell","prediction.score.Basal","prediction.score.Proliferating_Macrophage","prediction.score.max"
"0",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,0.0255960275269206,0,0.0569133678661017,0.903923424910641,0.0135671796963374,0,0,0,0,0,0,0,0,0,0,0,0,0.903923424910641
"2",0,0,0,0,0.0800423507281984,0.919957649271802,0,0,0,0,0,0,0,0,0,0,0,0,0,0.919957649271802
"3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"4",0,0,0,0,0,0,0.357062674403647,0,0,0,0,0,0,0,0,0,0.317642626760144,0.325294698836208,0,0.357062674403647
"5",0,0,0,0.00384257450637101,0,0,0,0.996157425493629,0,0,0,0,0,0,0,0,0,0,0,0.996157425493629
"6",0,0,0,0,0.0218742876800026,0.104350865196025,0.0192109614404734,0.830634357363325,0.00571183861437796,0.0182176897057958,0,0,0,0,0,0,0,0,0,0.830634357363325
"7",0,0,0,0,0.0172563532577188,0.166925691886495,0,0.802878749335396,0,0.0129392055203896,0,0,0,0,0,0,0,0,0,0.802878749335396
"8",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9",0.247382740750319,0.209994828127237,0,0.327202724753919,0,0,0.115651346751849,0,0,0,0,0,0,0,0,0,0.0997683596166759,0,0,0.327202724753919
"10",0,0,0.976486198458917,0,0,0,0.0134341597074003,0,0,0,0,0,0,0,0,0.0100796418336829,0,0,0,0.976486198458917
"11",0.0217625304898275,0.0460809803244468,0,0.00392872456060629,0,0,0,0.928227764625119,0,0,0,0,0,0,0,0,0,0,0,0.928227764625119
