"","prediction.score.pancreatic.acinar.cell","prediction.score.type.B.pancreatic.cell","prediction.score.pancreatic.D.cell","prediction.score.pancreatic.stellate.cell","prediction.score.pancreatic.ductal.cell","prediction.score.pancreatic.A.cell","prediction.score.pancreatic.epsilon.cell","prediction.score.pancreatic.PP.cell","prediction.score.endothelial.cell","prediction.score.mast.cell","prediction.score.max"
"0",0.0892401996626421,0,0,0,0.871214376677784,0.0395454236595745,0,0,0,0,0.871214376677784
"1",0,0,0,0,1,0,0,0,0,0,1
"2",0,0,0,0,0,0.918522168774451,0,0.0814778312255488,0,0,0.918522168774451
"3",0,0.377478743532738,0,0,0,0.622521256467262,0,0,0,0,0.622521256467262
"4",0,0,0.00231925562252248,0.0824414471739087,0.784160523680143,0.127466544157811,0.00361222936561482,0,0,0,0.784160523680143
"5",0.543625576288398,0.0643771381317167,0,0,0.353434794937541,0.0340143980474065,0,0.00454809259493755,0,0,0.543625576288398
"6",0,0,0,0,1,0,0,0,0,0,1
"7",0.243637963653604,0.00962525724863254,0.413728476367987,0,0,0.143234898431679,0.189773404298097,0,0,0,0.413728476367987
"8",0,0.234362309341464,0,0,0,0.765637690658536,0,0,0,0,0.765637690658536
"9",0.551304023928497,0.0648772846510642,0.0928973983303846,0,0.146378861937124,0.0931071650362878,0.0514352661166433,0,0,0,0.551304023928497
"10",0,0,0,0,1,0,0,0,0,0,1
"11",0,0,0,0,0,0.912256267295924,0,0.0877437327040757,0,0,0.912256267295924
"12",0,0.0828433729348547,0.635112290576082,0,0,0.0219385537877248,0.260105782701339,0,0,0,0.635112290576082
"13",0,0,0.154678120169113,0,0.677875361905908,0.0438073513090568,0.0750798648359065,0.0485593017800153,0,0,0.677875361905908
"14",0,0,0,0,0,0.977641918401622,0,0.0223580815983784,0,0,0.977641918401622
"15",0,0,0,0,0.279024767936587,0,0,0,0.720975232063413,0,0.720975232063413
"16",0,0,0.0452120898418545,0,0,0.883144754512776,0.0716431556453699,0,0,0,0.883144754512776
"17",0,0,0,0,1,0,0,0,0,0,1
"18",0,0,0,0,1,0,0,0,0,0,1
"19",0,0,0,0,0,0.869371833586498,0,0.130628166413502,0,0,0.869371833586498
"20",0,0,0,0,1,0,0,0,0,0,1
"21",0,0,0.0475804631306597,0,0,0.86988651001635,0.0825330268529905,0,0,0,0.86988651001635
"22",0,0,0,0,0.277547402428924,0,0,0,0.722452597571076,0,0.722452597571076
"23",0,0,0,0,0,0.83068715089482,0,0.16931284910518,0,0,0.83068715089482
"24",0,0,0,0,1,0,0,0,0,0,1
"25",0,0,0,0,0,1,0,0,0,0,1
"26",0,0.00102220673806959,0.000157007322111783,0.00987547226386229,0.00969797970391724,0,0,0,0.979247333972039,0,0.979247333972039
"27",0,0,0,0,0,0.990414141062986,0.00958585893701339,0,0,0,0.990414141062986
"28",0,0,0,0,1,0,0,0,0,0,1
"29",0,0,0.00203022744333046,0.99177468167903,0.0017444343206121,0,0,0.00445065655702686,0,0,0.99177468167903
"30",0,0,0,0,1,0,0,0,0,0,1
"31",0.00177769289093404,0,0,0,0.998222307109066,0,0,0,0,0,0.998222307109066
"32",0,0,0,0,1,0,0,0,0,0,1
"33",0,0.115054765012525,0.663540764172482,0,0,0.0030380928225877,0.218366377992405,0,0,0,0.663540764172482
"34",0,0,0,0,1,0,0,0,0,0,1
"35",0,0.443397992896473,0,0,0,0.556602007103527,0,0,0,0,0.556602007103527
"36",0,0.0265929276154137,0.636388436558315,0,0,0.0124093245163923,0.244035898183963,0.080573413125915,0,0,0.636388436558315
"37",0,0,0,0,0,0.882630020205285,0,0.117369979794715,0,0,0.882630020205285
"38",0,0,0,0,0,0.980921187246933,0,0.0190788127530667,0,0,0.980921187246933
"39",0.0800533065334611,0,0,0,0.866887383133227,0.0530593103333116,0,0,0,0,0.866887383133227
"40",0,0.252442469650799,0.587447263203828,0,0,0,0.160110267145373,0,0,0,0.587447263203828
"41",0,0,0,0,1,0,0,0,0,0,1
"42",0,0,0,0,1,0,0,0,0,0,1
"43",0.337864117028087,0,0,0,0.593086460406112,0.0690494225658008,0,0,0,0,0.593086460406112
"44",0,0,0,0,1,0,0,0,0,0,1
"45",0,0,0,0,0.0801980411080338,0.919801958891966,0,0,0,0,0.919801958891966
"46",0,0,0,0,1,0,0,0,0,0,1
"47",0,0.230240872035125,0,0,0,0.769759127964875,0,0,0,0,0.769759127964875
"48",0.0272272746678061,0,0,0,0.972772725332194,0,0,0,0,0,0.972772725332194
"49",0,0,0,0,1,0,0,0,0,0,1
"50",0,0.591323647365052,0,0,0,0.408676352634948,0,0,0,0,0.591323647365052
"51",0,0,0,0,1,0,0,0,0,0,1
"52",0,0,0,0,0.920180835267574,0,0,0,0,0.0798191647324261,0.920180835267574
"53",0,0,0,0,1,0,0,0,0,0,1
"54",0,0,0,0,1,0,0,0,0,0,1
"55",0,0,0,0,0.0935698095312016,0,0,0,0.906430190468798,0,0.906430190468798
"56",0,0,0,0,0,1,0,0,0,0,1
