"","prediction.score.Fibroblast","prediction.score.B_cells","prediction.score.Mac_Mono","prediction.score.Plasma","prediction.score.Endothelial","prediction.score.T_cells","prediction.score.Alveolar_type_2","prediction.score.Alveolar_type_1","prediction.score.Mast","prediction.score.DCs","prediction.score.Neutrophils","prediction.score.Club_cells","prediction.score.Ciliated_cells","prediction.score.max"
"0",0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"2",0,0.451459725371412,0.058620617309311,0,0,0.424697779400479,0,0,0,0.0652218779187977,0,0,0,0.451459725371412
"3",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"4",0,0.390113143970252,0.0665926841152897,0,0,0.464635144625081,0,0,0,0.0786590272893778,0,0,0,0.464635144625081
"5",0,0.0611775550135972,0.712678335375172,0,0,0.208270103528971,0,0,0,0.0178740060822599,0,0,0,0.712678335375172
"6",0,0,0.223378901145081,0,0,0,0,0,0,0.00962647277146367,0.766994626083456,0,0,0.766994626083456
"7",0,0.0744239143613139,0,0,0,0.90060827320712,0,0,0,0.0249678124315661,0,0,0,0.90060827320712
"8",0,0.129081210722787,0.624517179758762,0,0,0.235854544197165,0,0,0,0.0105470653212863,0,0,0,0.624517179758762
"9",0,0.125995666965129,0.210774845559844,0,0,0.663229487475027,0,0,0,0,0,0,0,0.663229487475027
"10",0,0.0219967730054816,0.562647269645115,0,0,0.0322757854065984,0,0,0,0.383080171942805,0,0,0,0.562647269645115
"11",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"12",0,0.14886994492476,0.509976979521579,0,0,0.280443646194454,0,0,0,0.0607094293592068,0,0,0,0.509976979521579
"13",0,0.138979504678855,0.402320527593008,0,0,0.140025631289604,0,0,0,0.318674336438532,0,0,0,0.402320527593008
"14",0,0,0,0,0,0.0720221333375429,0,0,0.927977866662457,0,0,0,0,0.927977866662457
"15",0,0.0465181243782373,0.740613659141642,0,0,0.161374347477409,0,0,0,0.0514938690027127,0,0,0,0.740613659141642
"16",0,0.0243616929495085,0.000919741068654512,0,0,0.321499042622504,0.10661209465883,0,0,0,0,0,0.546607428700503,0.546607428700503
"17",0,0.00463038621694359,0.974666173872809,0,0,0.0207034399102472,0,0,0,0,0,0,0,0.974666173872809
"18",0.973513721478484,0,0.013032367371617,0,0,0.00845596984865234,0.00499794130124663,0,0,0,0,0,0,0.973513721478484
