"","prediction.score.Endothelial.Cell","prediction.score.Thick.Ascending.Limb","prediction.score.Distal.Convoluted.Tubule","prediction.score.Proximal.Tubule","prediction.score.Connecting.Tubule","prediction.score.Principal.Cells","prediction.score.Intercalated.Cells.Type.A","prediction.score.Intercalated.Cells.Type.B","prediction.score.Mesangial.Cells","prediction.score.Leukocyte","prediction.score.max"
"0",0,0.0843378885578205,0.00787991996564866,0.353458971573924,0.0163370887925296,0.28132351242865,0.141052162611637,0.0727615635395161,0,0.0428488925302747,0.353458971573924
"1",0.0564833674605839,0.524937410416424,0,0.415961310085127,0,0,0,0.00261791203786516,0,0,0.524937410416424
"2",0,0,0,1,0,0,0,0,0,0,1
"3",0.00706852685974827,0.038677173132239,0,0.940316738069783,0.00571275806136133,0.00704350209801893,0,0,0,0.00118130177885019,0.940316738069783
"4",0.36236189710285,0,0.00154100225680336,0.0698846825947953,0,0.503152227874239,0.00690047955806852,0.0506144702842922,0,0.00554524032895198,0.503152227874239
"5",0,0.0669480891757529,0.00145431515874935,0.423671608577476,0.0142946991796325,0.481414602955113,0,0.00507322964738164,0,0.00714345530589424,0.481414602955113
"6",0.0261443925901674,0.0315914451694001,0,0,0,0.00396269978375862,0,0,0.938301462456674,0,0.938301462456674
"7",0.0133910048372895,0.0133910048372895,0.020247656529354,0.907499477684046,0,0.00602624037102753,0,0,0.0363008185053236,0.00314379723567006,0.907499477684046
"8",0,0,0,1,0,0,0,0,0,0,1
"9",0.0547993916916875,0.190758461516127,0.0647832358541492,0.667532137062543,0,0.0107252626862692,0,0,0,0.0114015111892241,0.667532137062543
"10",0.00889384376306997,0.108998275642076,0.0327371959654405,0.004551509491008,0.090377121538532,0.754442053599874,0,0,0,0,0.754442053599874
"11",0.030217636905086,0.969782363094914,0,0,0,0,0,0,0,0,0.969782363094914
"12",0,0,0,0,0,1,0,0,0,0,1
"13",0,0.106026380091042,0,0.343418393364767,0.00235376117930302,0.0172768727377673,0.30499941724181,0.225925175385312,0,0,0.343418393364767
"14",0,0.86833701129357,0.0395664590772315,0,0.0920965296291982,0,0,0,0,0,0.86833701129357
"15",0.579884779032405,0.0513255565804682,0.10526910751088,0.0190762789091185,0.010061349229499,0.186090257838317,0,0.036605148223954,0,0.0116875226753588,0.579884779032405
"16",0.00656530719997676,0.0614587563353822,0.243993755859715,0.674184217919997,0,0.0100328704297941,0,0,0,0.00376509225513463,0.674184217919997
"17",0,0.960825584021797,0,0,0.0391744159782031,0,0,0,0,0,0.960825584021797
"18",0.0611027782891752,0.014020863317182,0.0135084040578151,0.718956322740389,0.103455165857892,0.0556638262308157,0.00975247602765889,0.0235401634790722,0,0,0.718956322740389
"19",0,0,0,0,0,1,0,0,0,0,1
"20",0.174617254567278,0.0147558935189878,0,0,0,0.00204450896261929,0,0,0.808582342951115,0,0.808582342951115
"21",0.0292196802152942,0,0,0.970780319784706,0,0,0,0,0,0,0.970780319784706
"22",0,0.060326929845031,0,0.102443633404616,0,0.00824906837462786,0.158820369408203,0.670159998967522,0,0,0.670159998967522
"23",0.114391473305444,0.800680249952462,0,0,0.0150448065450279,0.0028278796729133,0,0,0,0.0670555905241529,0.800680249952462
"24",0,0.963546281479523,0,0,0.0364537185204775,0,0,0,0,0,0.963546281479523
"25",0,1,0,0,0,0,0,0,0,0,1
"26",0,0,0,0.994739752897454,0,0.00526024710254602,0,0,0,0,0.994739752897454
"27",0,0.982479242682199,0,0.0175207573178011,0,0,0,0,0,0,0.982479242682199
"28",0,0.48385263771891,0,0.51614736228109,0,0,0,0,0,0,0.51614736228109
"29",0,0.017645466494318,0,0.0657497018169721,0.0068811006992042,0.909723730989506,0,0,0,0,0.909723730989506
"30",0,0.0416765607918973,0.00145000585874475,0.0565104228836473,0.00626455558209368,0.728318262055721,0.0695716492936242,0.076672214846245,0,0.0195363286880266,0.728318262055721
"31",0.34724362309196,0.20971542880007,0,0.383658048954802,0,0.0117481352154099,0,0.0451637938784254,0,0.00247097005933312,0.383658048954802
"32",0.012341462002461,0.303263963046728,0.383231612649946,0.148825840114388,0.116559326086462,0,0,0,0,0.035777796100015,0.383231612649946
"33",0,0.00798307714083818,0,0.992016922859162,0,0,0,0,0,0,0.992016922859162
"34",0,1,0,0,0,0,0,0,0,0,1
"35",0,0.320713585500172,0,0.645956920486669,0.00175722790613816,0.0177092148069237,0,0,0,0.013863051300097,0.645956920486669
"36",0,0.0208963527121432,0,0.749418689602571,0.0208963527121432,0.208788604973142,0,0,0,0,0.749418689602571
"37",0,0.0745670596102063,0.00161431091516148,0.673487638063663,0,0.0194024397265172,0,0,0,0.230928551684452,0.673487638063663
