"","prediction.score.Ext_L23","prediction.score.Oligo_2","prediction.score.Astro_THAL_med","prediction.score.Inh_Sst","prediction.score.Inh_6","prediction.score.Inh_Meis2_3","prediction.score.Micro","prediction.score.Ext_L5_2","prediction.score.Ext_Pir","prediction.score.Astro_AMY","prediction.score.Inh_2","prediction.score.Inh_1","prediction.score.Inh_Pvalb","prediction.score.Inh_Lamp5","prediction.score.Ext_L25","prediction.score.Nb_2","prediction.score.Ext_Thal_1","prediction.score.Ext_L56","prediction.score.Ext_Unk_3","prediction.score.Inh_3","prediction.score.Ext_Amy_2","prediction.score.Ext_Thal_2","prediction.score.Ext_L5_1","prediction.score.Unk_1","prediction.score.OPC_1","prediction.score.Astro_AMY_CTX","prediction.score.Ext_Hpc_DG1","prediction.score.Astro_HYPO","prediction.score.Inh_4","prediction.score.Inh_Meis2_1","prediction.score.Ext_Hpc_DG2","prediction.score.Inh_Meis2_2","prediction.score.Ext_Hpc_CA1","prediction.score.Ext_L6B","prediction.score.Astro_CTX","prediction.score.Ext_Amy_1","prediction.score.Astro_WM","prediction.score.Oligo_1","prediction.score.Ext_L6","prediction.score.Astro_THAL_lat","prediction.score.Nb_1","prediction.score.LowQ_2","prediction.score.Inh_Vip","prediction.score.Astro_HPC","prediction.score.Ext_ClauPyr","prediction.score.OPC_2","prediction.score.Inh_5","prediction.score.Ext_Hpc_CA3","prediction.score.Inh_Meis2_4","prediction.score.max"
"exper1_location_0",0.0372263434535817,0,0,0,0.0194228876353825,0,0,0,0,0,0.0899329303635197,0.0467850721684475,0,0,0,0.244418219340901,0,0,0,0.00588511870775265,0,0,0,0.0730403847601303,0.214539643553565,0,0,0,0.133428505352106,0,0,0,0,0,0,0.00412411885234965,0,0,0.0667664779422589,0,0.0371025716096566,0,0,0,0,0,0,0,0.0273277262603485,0.244418219340901
"exper1_location_1",0,0,0,0,0.0685079012002361,0,0,0,0.0116346298762951,0,0.224824960432321,0.0210193348202325,0,0,0,0,0,0,0.00296021938673665,0.0981261222483492,0,0,0,0.0597980203269655,0,0,0,0,0.38005335149823,0,0,0,0,0,0,0.0244230244903935,0,0,0.00129721125721622,0,0.00274399541609074,0,0,0,0.104611229046933,0,0,0,0,0.38005335149823
"exper1_location_2",0.0477544343582096,0,0,0,0.0137682300388342,0,0,0,0,0,0.0297611862536277,0.0976030631549756,0,0,0,0.2887353724106,0,0,0,0.0167479227688733,0,0,0,0.0825693843861397,0.20085659056581,0,0,0,0.0460647307308383,0,0.008249495852802,0,0,0,0,0,0.0222795941441848,0,0.0747905602600926,0,0.0537598053972964,0,0,0,0,0,0,0,0.0170596296777162,0.2887353724106
"exper1_location_3",0,0,0,0,0,0,0,0,0.0249148303827164,0,0.169994782756468,0.0553275469622047,0,0,0,0,0,0,0,0.00411872422926308,0,0,0,0.0496329576613462,0,0,0,0,0.254358037939417,0,0.0716756780608343,0,0,0,0,0,0,0,0.144921807106157,0,0.0548815188670039,0,0,0,0.17017411603459,0,0,0,0,0.254358037939417
"exper1_location_4",0,0,0,0.00635592816321641,0.0221036431996062,0,0,0,0,0,0.0152064420453535,0.00963442376061102,0.0324758261532312,0,0,0,0,0,0,0.0032078438145246,0,0,0,0.00738310514292123,0,0,0,0,0.00104353161507802,0,0,0,0,0,0,0,0,0,0.0252090456885319,0,0,0,0,0,0.877380210416926,0,0,0,0,0.877380210416926
"exper1_location_5",0,0,0,0.0513711911441756,0.00939177171694458,0,0,0,0.00999813309001324,0,0.134764866317498,0.0819196932238574,0.0664009632087356,0,0,0,0,0,0,0.024845105140664,0.00414679432298805,0,0,0.0655570974001081,0,0,0,0,0.205260006403478,0,0,0,0,0,0,0.0103610441862469,0,0,0.0263018558518895,0,0,0,0.0318504016730995,0,0.277831076320301,0,0,0,0,0.277831076320301
"exper1_location_6",0.0444572804502737,0,0,0,0,0.0336343430088042,0,0,0.0378449351908078,0,0.20553756745561,0,0,0,0,0,0,0,0,0.0491916668258476,0,0,0.0522447594262612,0.00349483331769915,0,0,0,0,0.414800494065799,0,0.0418466583850231,0,0,0,0,0.0136106509210124,0.0680571130027371,0,0,0,0,0,0,0,0.0271469597647626,0,0,0,0.00813273818536229,0.414800494065799
"exper1_location_7",0,0,0,0.046929566463839,0,0,0,0,0,0,0.0689455528758641,0.102739209878841,0.0541972492487157,0,0,0.102529469876073,0,0,0,0.0367232761997305,0,0,0,0.0590978331337106,0.0721383576190663,0,0,0,0.0710950597160075,0,0,0,0,0,0,0,0,0,0.247312286430532,0,0.0356974379385043,0,0.00730723600147885,0,0.0693981719428163,0,0,0,0.0258892926748212,0.247312286430532
"exper1_location_8",0,0,0,0.0111949266582948,0.0143400808324968,0,0,0,0.0141555524931165,0,0.220069034893648,0.0208380825285071,0,0,0,0,0,0,0,0.0714888277537111,0,0,0.0181726618601729,0.017853553752625,0,0,0,0,0.399814828998266,0,0.113189922161048,0,0,0,0,0.0135111864155438,0,0,0.00969557433357304,0,0.0756757673189967,0,0,0,0,0,0,0,0,0.399814828998266
"exper1_location_9",0.0102257022734744,0,0,0,0.877587955329489,0,0,0,0,0,0.00686854402206663,0,0,0,0,0,0,0,0,0.00932122500087734,0,0,0,0.053975538244109,0,0,0,0,0.0193612158972037,0,0,0,0,0,0,0,0,0,0.00371582654414017,0,0,0,0,0,0.0189439926886397,0,0,0,0,0.877587955329489
"exper1_location_10",0,0,0,0.00719259773273394,0.651414915724395,0,0,0,0.00668356979171776,0,0.0646381481206548,0.0144445162722824,0.035208941772119,0,0,0,0,0,0,0.0337259266182336,0,0,0.00905563479467653,0.048583528592479,0,0,0,0,0.127709096685453,0,0,0,0,0,0,0,0,0,0,0,0.00134312389525487,0,0,0,0,0,0,0,0,0.651414915724395
"exper1_location_11",0,0,0,0.0127618043061909,0.0104705659512671,0,0,0,0.0406233311447146,0,0.278806598901562,0.0257853642540365,0,0,0,0,0,0,0,0.0716368592338213,0,0,0.0286021724750674,0.0321022937220257,0,0,0,0,0.427919030228885,0,0.0557312696687694,0,0,0,0,0,0,0,0.0155607101136603,0,0,0,0,0,0,0,0,0,0,0.427919030228885
"exper1_location_12",0,0,0,0,0.0426561320352074,0,0,0.00846926409208089,0,0,0.0542213764752809,0.0162175444259893,0,0,0,0,0,0.0224608181369493,0.00402520363876318,0.0434027808804257,0.0474557700613903,0,0.0071107773683174,0.101853701631028,0,0,0,0,0.0154126135415009,0,0,0,0,0.156716685466322,0,0.0307135834723932,0,0,0.185915823880942,0,0,0,0,0,0,0,0,0,0.263367924893409,0.263367924893409
