,0
0,0.9111321671777267
1,0.3462332888371386
2,
3,-0.0054601835772657425
4,0.09601074311767355
5,
6,
7,0.5971307889222924
8,0.42184595271339653
9,0.8242395554121448
10,
11,
12,
13,
14,0.599502361525593
15,
16,
17,
18,
19,0.02224186791508737
20,0.33477407129529707
21,
22,0.4772128390861543
23,
24,0.6098447278428537
25,0.4473725067317653
26,0.013936198165496363
27,0.23080555020814308
28,0.6829867248984447
29,
30,0.6082336480890047
31,0.20594605379963465
32,0.6289160891347432
33,0.6118224930752634
34,
35,0.7648181886535848
36,
37,0.7907709763679899
38,0.18071392851694199
39,
40,0.9021930532659043
41,
42,
43,0.04533662732102949
44,0.7862490798695432
45,
46,0.8083105032506896
47,0.781776520951645
48,
49,
50,0.8669236996269437
51,0.7924259038284576
52,0.07012336534792034
53,0.8348420234004484
