"","cell_ID","Exc L5-6 FEZF2 IFNG-AS1","Exc L3 RORB OTOGL","Exc L2 LINC00507 GLRA3","Inh L2 VIP SLC6A16","Exc L5-6 FEZF2 C9orf135-AS1","Inh L1-6 LAMP5 AARD","Inh L1-3 SST FAM20A","Inh L1 SST DEFB108B","Exc L2-3 RORB CCDC68","Exc L3-5 RORB RPRM","Exc L2-3 RORB PTPN3","Exc L5-6 THEMIS SMYD1","Inh L3-5 SST GGTLC3","Exc L3-5 RORB LAMA4","Exc L2 LAMP5 KCNG3","Inh L5-6 PVALB MEPE","Exc L3 LAMP5 CARM1P1","Exc L3-5 RORB LINC01202","Oligo L2-6 OPALIN MAP6D1","Astro L1 FGFR3 SERPINI2","Exc L3-5 RORB LNX2","Exc L3 THEMIS ENPEP","Inh L3 PVALB SAMD13","Exc L5 THEMIS SLC22A18","Inh L5-6 SST ISX","Inh L5-6 PVALB GAPDHP60","Exc L3-5 FEZF2 LINC01107","Oligo L2-6 OPALIN FTH1P3","Inh L1-6 LAMP5 NES","Inh L3-5 SST OR5AH1P","Exc L6 FEZF2 KLK7","Inh L2-3 SST NMU","Inh L5 SST RPL35AP11","Inh L5-6 SST C4orf26","Inh L1-2 SST CCNJL","Inh L5-6 LAMP5 CRABP1","Exc L6 THEMIS LINC00343","Inh L5-6 SST FBN2","Inh L5-6 PVALB ZFPM2-AS1","Inh L1-3 VIP HSPB6","Exc L2-3 RORB RTKN2","Inh L3-5 PVALB ISG20","Inh L2-5 PVALB RPH3AL","Inh L2-5 VIP SOX11","Inh L1 PAX6 CHRFAM7A","Inh L1 LAMP5 BMP2","Exc L6 FEZF2 FFAR4","Inh L1-2 VIP HTR3A","Exc L6 THEMIS SLN","Exc L3-5 FEZF2 ASGR2","Inh L3-5 VIP TAC3","Inh L1 PVALB SST ASIC4","Oligo L3-6 OPALIN ENPP6","Exc L5 THEMIS RGPD6","Exc L5 FEZF2 RNF144A-AS1","Inh L1-3 VIP CBLN1","Inh L1-5 VIP LINC01013","Exc L5-6 FEZF2 FILIP1L","Inh L1-3 VIP CHRNA2","Inh L2-5 PVALB HHIPL1","Inh L1-2 VIP EXPH5","Exc L5-6 THEMIS TNFAIP6","Inh L3-5 VIP IGDCC3","Inh L2 PAX6 FREM2","Inh L5-6 PVALB FAM150B","Inh L1-5 VIP SMOC1","Inh L6 SST TH","Inh L5 PVALB LRIG3","Exc L3-5 RORB TNNT2","Inh L1-6 LAMP5 CA1","Inh L1-5 VIP PHLDB3","Exc L5 RORB MED8","Exc L6 FEZF2 POGK","VLMC L1-5 PDGFRA COLEC12","Exc L5 FEZF2 NREP-AS1","Inh L5-6 VIP COL4A3","Inh L1-2 VIP WNT4","Exc L5-6 FEZF2 SH2D1B","Inh L1-2 VIP SCML4","Exc L5 THEMIS VILL","Exc L2 LINC00507 ATP7B","Exc L2-3 LINC00507 DSG3","OPC L1-6 PDGFRA COL20A1","Inh L1-2 SST PRRT4","Inh L5-6 PVALB KCNIP2","Inh L1-2 SST CLIC6","Inh L1 VIP KLHDC8B","Exc L5 THEMIS FGF10","Micro L1-6 TYROBP CD74","Inh L1-6 VIP SLC7A6OS","Inh L1-5 VIP CD27-AS1","Astro L1-6 FGFR3 PLCG1","Astro L1-6 FGFR3 AQP1","Exc L6 THEMIS SNTG2","Inh L1-6 PVALB COL15A1","Exc L5 FEZF2 PKD2L1","Exc L5-6 FEZF2 OR1L8","Exc L5-6 FEZF2 CFTR","Inh L3-6 VIP UG0898H09","Inh L3-5 VIP HS3ST3A1","Oligo L3-6 OPALIN LRP4-AS1","Inh L5-6 PVALB SST CRHR2","Inh L1-2 PVALB CDK20","Inh L3-6 VIP ZIM2-AS1","Inh L1 LAMP5 NMBR","Exc L5 FEZF2 CSN1S1","Inh L2 PVALB FRZB","Exc L5 THEMIS LINC01116","Inh L5-6 SST BEAN1","Inh L5-6 SST PIK3CD","Inh L5-6 SST PAWR","Inh L1 PAX6 MIR101-1","Inh L1 LAMP5 RAB11FIP1","Inh L2-5 VIP BSPRY","Exc L6 FEZF2 PROKR2","Inh L5-6 SST KLHL1","Inh L1-2 VIP PTGER3","Exc L5-6 FEZF2 LPO","Inh L1 LAMP5 PVRL2","Endo L2-5 NOSTRIN SRGN","Inh L1-3 VIP FNDC1","Inh L3-6 PAX6 LINC01497","Inh L3-5 SST CDH3","Inh L1-6 SST NPY","Inh L5-6 SST DNAJC14","Oligo L5-6 OPALIN LDLRAP1","Inh L1 SST P4HA3","Exc L6 FEZF2 PDYN"
"1","0",0,0,0,0,0.113189498749929,0,0,0,0,0.493597059536464,0,0,0.00356011523827598,0,0,0,0,0,0,0,0,0,0,0,0,-8.22036063458459e-20,0,0.318262036723976,0,0,0,0,5.3764497319623e-18,8.37987991102356e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.33064724674927e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0500399166921448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000309407809461835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209581664506377,0,0,0,0,0,0,0,0
"2","1",0,0,0,0,0,0,0,0,0,0.689021186771128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127517660883434,0,0,0,0,0,0,0.175202858003957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88327187341889e-21,0,0,0,0,0,-3.07409969332242e-20,0,0,0,0.00415195217398201,0,0.00178928312064036,0,0,0,0,7.57350337770737e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00224132401308088,0,0,0,0,0,0,0,0
"3","2",0,0,0,0,0,0,0,0,0,0.820354991633306,0,0,0,0,0,0,0.0891048981934053,0,0,0,0,0,0,0,0,0,0,0,0,-3.75310127704422e-18,0,0,0,-4.40877126910922e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265337216324615,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26879596302704e-18,3.08183277327871e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0638627742674422,0,0,0,0,0,0,0,0.000143614273384498,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2481017569811e-22,0,0,0,0,0,0,0,0
"4","3",0,0,0,0,0,0,0,0,0,0.508334218615192,0,0,0,0,0.0430006862307233,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299936199266881,0,0,0,0,0,0,0,0,0,0,0.0462495768322728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0720975170061946,0,0,0.000301381672514414,0.000182356530825301,0.029518159624701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000379904220695589,0,0,0,0,0,0,0,0
"5","4",0,0,0.0779348312526504,0,0,0,0,0,0.125582005901633,0.560548275636928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128762545391222,0,0,0,0,0,0,0,0,0.00377585264818553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0910022401503842,0.000288690625807558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121055583931892,0,0,0,0,0,0,0,0
"6","5",0,0,0,0,0,0,0,0,0,0.77182954671574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675526207276412,0,0,0,7.52395265850602e-19,0,0,0,0,0,0.156623006043409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0039948265132105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.9839641891872e-19,0,0,0,0,0,0,0,0,0,0,0
"7","6",0,0,0.0672647094965315,0,0.00150108208824121,0,0,0,0,0.508649998423313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358481369499646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0944284318589758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000900282333910492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291405578211494,0,0,0,0,1.780637569543e-06,0,0,0,0,0,0,0,0
"8","7",0,0,0,0,0,0,0,0,0,0.245060758365222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38624314231016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160316463825098,0,0,0,0,0,0,0,0,0.283772029861248,0,0,0,0,0,0,0,0,0.0273499304717816,0.0179199626876729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236225299214062,0,0,0,0,0,0,0,0
"9","8",0,0,0.209471275832717,0,0,0,0,0,0,0.387225238819709,0,0,0,0,0,0,0,0,0,0,0,0,0.0605488525674024,0,0,0.0004326508349708,0,0,0.00177032738176671,0,0,0,0,0,0,0,0,0,0,0,0.010409552220034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133490124457101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0846148051527784,0,0.077998153638439,0,0,0,0,0.00305356417684964,0,0,0,0,0,0,0,0,0,0,0,0,0.150717443032969,0,0,0,0,-4.25555327015773e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.000409123896652876,0,0,0,0,0,0,0,0
"10","9",0,0,0.105347742407448,0,0,0,0,0,0,0.495181445548816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563125665573097,0,0,0,0,0,0,0,0,0,0,0.343158245486427,3.18927726407065e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13022754182189e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
