"","cell_ID","pancreatic D cell","pancreatic A cell","pancreatic PP cell","pancreatic ductal cell","pancreatic acinar cell","type B pancreatic cell","pancreatic stellate cell","endothelial cell","pancreatic epsilon cell","mast cell"
"1","0",0.120614934219076,0,0,0,0.727938657545215,0.15144640823571,0,0,0,0
"2","1",0.168211646223341,0,0,0.454856621009731,0,0.376931732766928,0,0,0,0
"3","2",0,0.0733783267464232,0,0.201280554600648,0,0.368734378253751,0.356606740399177,0,0,0
"4","3",0,0.117529359006071,0,0,0.612639369111105,0.269831271882823,0,0,0,0
"5","4",0,0,0,0,0.2933073263033,0.7066926736967,0,0,0,0
"6","5",0,0.835611958124482,0,0,0,0.164388041875517,0,0,0,0
"7","6",0,0.326378044228666,0,0,0,0.673621955771334,0,0,0,0
"8","7",0,0.460614530044444,0,0,0,0,0.342440755576883,0,0.196944714378673,0
"9","8",0,0,0,0.514543890203974,0,0.467448552578096,0,0.0180075572179293,0,0
"10","9",0,0,0,0.388385926293236,0,0.611614073706764,0,0,0,0
"11","10",0,0,0,0.447153254160766,0.254935008466728,0.297911737372507,0,0,0,0
"12","11",0.113774756872723,0,0,0,0.646891877068164,0.239333366059113,0,0,0,0
"13","12",0,0.551553020288361,0,0,0,0.448446979711639,0,0,0,0
"14","13",0,0.801371074317533,0,0.198628925682467,0,0,0,0,0,0
"15","14",0.269526077859141,0.106206048604905,0,0.300753557214757,0,0,0.323514316321197,0,0,0
"16","15",0.35122423880739,0.218797349878832,0.288771136881908,0,0,0.14120727443187,0,0,0,0
"17","16",0,0.297878387816998,0,0,0,0.702121612183002,0,0,0,0
"18","17",0,0,0,0.14574994173087,0.709978564261416,0.144271494007713,0,0,0,0
"19","18",0.184008492393699,0,0,0,0.360872051939618,0.331211713032304,0,0.123907742634378,0,0
"20","19",0,0.46547563069383,0,0,0.534524369306171,0,0,0,0,0
"21","20",0,0.383905049953018,0.202233178771861,0,0.192214048176655,0.221647723098465,0,0,0,0
"22","21",0,0.481305251985348,0.217859176735313,0.300835571279339,0,0,0,0,0,0
"23","22",0,0.395923565163622,0,0.441887495783524,0,0.162188939052854,0,0,0,0
"24","23",0,0.18810540311205,0,0.544368222028885,0,0.267526374859065,0,0,0,0
"25","24",0,0.316066018084782,0,0.0724274657390947,0.381631168741764,0.22987534743436,0,0,0,0
"26","25",0,0.0969279428307963,0,0,0.903072057169204,0,0,0,0,0
"27","26",0,0,0,0.169952583974019,0.830047416025981,0,0,0,0,0
"28","27",0,0,0,0,0.844659764718954,0,0.155340235281046,0,0,0
"29","28",0,0.580607113760965,0,0.419392886239035,0,0,0,0,0,0
"30","29",0,0.280443686436241,0,0,0.312782949541354,0.246378410569103,0,0.160394953453302,0,0
"31","30",0,0.111222912074721,0,0,0.668518985502297,0.220258102422981,0,0,0,0
"32","31",0,0.264633663615439,0.450767419546268,0,0.284598916838292,0,0,0,0,0
"33","32",0.335828554575577,0.178688706675243,0,0.485482738749179,0,0,0,0,0,0
"34","33",0.0996161214735551,0.396156679182847,0,0,0,0.504227199343598,0,0,0,0
"35","34",0,1,0,0,0,0,0,0,0,0
"36","35",0.349400712971753,0.369666717142944,0.132672802949019,0,0,0,0,0,0.148259766936284,0
"37","36",0.0802398072177497,0.563321550247407,0,0.356438642534843,0,0,0,0,0,0
