"","cell_ID","Exc L2-3 RORB CCDC68","Inh L3-5 VIP TAC3","Exc L5-6 FEZF2 FILIP1L","Exc L5 THEMIS SLC22A18","Exc L6 THEMIS SNTG2","OPC L1-6 PDGFRA COL20A1","Exc L5-6 FEZF2 C9orf135-AS1","Oligo L2-6 OPALIN FTH1P3","Inh L5-6 PVALB GAPDHP60","Exc L3-5 RORB LNX2","Inh L3-5 VIP IGDCC3","Inh L1-3 SST FAM20A","Exc L5-6 FEZF2 IFNG-AS1","Inh L5-6 PVALB ZFPM2-AS1","Inh L1-3 VIP FNDC1","Exc L2 LINC00507 GLRA3","Inh L1 LAMP5 NMBR","Inh L5-6 LAMP5 CRABP1","Exc L5-6 FEZF2 SH2D1B","Inh L1-2 SST CLIC6","Exc L3 LAMP5 CARM1P1","Inh L5 SST RPL35AP11","Astro L1-6 FGFR3 PLCG1","Inh L1 LAMP5 RAB11FIP1","Exc L3 RORB OTOGL","Exc L6 THEMIS LINC00343","Inh L1 LAMP5 BMP2","Micro L1-6 TYROBP CD74","Exc L6 FEZF2 KLK7","Inh L5 PVALB LRIG3","Inh L1-5 VIP SMOC1","Inh L2-5 PVALB HHIPL1","Inh L1-6 LAMP5 AARD","Exc L3 THEMIS ENPEP","Inh L1 PAX6 MIR101-1","Exc L3-5 RORB RPRM","Inh L5-6 SST ISX","Inh L5-6 SST C4orf26","Inh L1 PVALB SST ASIC4","Exc L5 THEMIS LINC01116","Inh L1-6 PVALB COL15A1","Oligo L3-6 OPALIN LRP4-AS1","Exc L3-5 FEZF2 ASGR2","Inh L1-2 SST CCNJL","Exc L2-3 LINC00507 DSG3","Exc L5 RORB MED8","Inh L2-5 PVALB RPH3AL","Inh L3-5 SST GGTLC3","Oligo L5-6 OPALIN LDLRAP1","Inh L5-6 SST KLHL1","Inh L1-6 LAMP5 CA1","Oligo L3-6 OPALIN ENPP6","Inh L1-2 VIP HTR3A","Exc L5-6 THEMIS SMYD1","Astro L1 FGFR3 SERPINI2","Inh L3 PVALB SAMD13","Inh L5-6 PVALB MEPE","Inh L3-5 VIP HS3ST3A1","Inh L2 PAX6 FREM2","Exc L3-5 RORB LINC01202","Exc L6 FEZF2 POGK","Exc L6 FEZF2 FFAR4","Exc L6 THEMIS SLN","Exc L6 FEZF2 PROKR2","Exc L5-6 THEMIS TNFAIP6","Inh L1-5 VIP PHLDB3","Inh L2 PVALB FRZB","Exc L5 THEMIS VILL","Inh L5-6 PVALB SST CRHR2","Inh L3-5 PVALB ISG20","Exc L5-6 FEZF2 LPO","Exc L3-5 RORB TNNT2","Inh L1-2 VIP WNT4","Inh L1 SST DEFB108B","Endo L2-5 NOSTRIN SRGN","Inh L5-6 SST PAWR","Inh L1 VIP KLHDC8B","Exc L2-3 RORB PTPN3","Inh L5-6 SST BEAN1","Inh L1-6 LAMP5 NES","Exc L2 LAMP5 KCNG3","Exc L5 THEMIS FGF10","Exc L2-3 RORB RTKN2","Exc L5 FEZF2 NREP-AS1","Inh L5-6 PVALB KCNIP2","Inh L2 VIP SLC6A16","Inh L5-6 SST PIK3CD","Inh L1-3 VIP CBLN1","Inh L6 SST TH","Astro L1-6 FGFR3 AQP1","Exc L5 THEMIS RGPD6","Exc L5-6 FEZF2 OR1L8","Exc L5 FEZF2 RNF144A-AS1","Inh L2-3 SST NMU","Inh L3-5 SST CDH3","Inh L1-2 VIP EXPH5","Inh L3-5 SST OR5AH1P","Inh L1 PAX6 CHRFAM7A","Inh L1-3 VIP HSPB6","Exc L5 FEZF2 PKD2L1","Inh L1-2 PVALB CDK20","Inh L3-6 VIP ZIM2-AS1","Exc L5 FEZF2 CSN1S1","Oligo L2-6 OPALIN MAP6D1","Inh L1 SST P4HA3","Inh L3-6 VIP UG0898H09","Inh L1-3 VIP CHRNA2","Inh L1-2 VIP PTGER3","Inh L5-6 PVALB FAM150B","Exc L2 LINC00507 ATP7B","Inh L1-6 SST NPY","Inh L2-5 VIP BSPRY","Inh L1-2 SST PRRT4","Exc L5-6 FEZF2 CFTR","Inh L5-6 VIP COL4A3","Inh L1-2 VIP SCML4","Inh L3-6 PAX6 LINC01497","Exc L6 FEZF2 PDYN","Inh L1 LAMP5 PVRL2","Inh L1-6 VIP SLC7A6OS","Inh L2-5 VIP SOX11","VLMC L1-5 PDGFRA COLEC12","Exc L3-5 RORB LAMA4","Inh L1-5 VIP LINC01013","Inh L5-6 SST FBN2","Inh L1-5 VIP CD27-AS1","Exc L3-5 FEZF2 LINC01107","Inh L5-6 SST DNAJC14"
"1","0",6.8556827122945e-17,0,0,0,0.00198417533205025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11363072677554e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738612531716735,0,2.71958166610726e-17,0,0,0,0,0,0,0,0.259402179320488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","1",0,0,0,0,0,0,0.0369241932725139,0,0,0,0,0,0,0,0.100540285070955,0,0,0,0,-3.34961659257489e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43289230953837e-05,0,0,-1.44858256764343e-18,0,0,0,0,0,0,0.241379422769257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209403514959997,0,0,0,5.51439604216007e-19,0,0,0,0,0,0,0,0,0,0.0660858606628071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313313655717861,0,0,0,0,0,0,0,0,5.21620162061598e-19,0,0,0,0,0,0,0,0,0,0,0.0323287386235138,0
"3","2",0,0,0.184618575789943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93176706575917e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225519403406763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255138801954027,0,0,0,0,0.274872423817768,0,0,0,0,0,0,0,-1.15411288647296e-19,0,0,0,0,0,0,-9.35129722048947e-20,0,0,0,0,0,0,0,0,0.262788940426928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","3",0,0,0,0,0,1.27079321841624e-05,0,0,0,0,0,0,0,0,0.108278401116157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206749335135616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00652533089376e-05,0,0,2.70589390479219e-06,0,0,0.044467083340573,0,0,0,0,0,0,0,0.516954572611614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122613107587528,0.000912021129114151,0
"5","4",0.220722518358811,0,0,0,0,0,0.0451686355163258,0,0,0,0,0,0,0,0.0822198236325063,1.11756515102825e-14,0,0,0,1.50093125221322e-08,1.32637898099851e-17,-9.99000560926203e-19,0,0,0,0,0,0,1.92582752900494e-12,0,0,0,0,0,0,0,0,0,0,0,2.31481479883975e-15,0,0,0,0.0285800527740411,0,0,0,0,0,2.40792798771874e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0619147306485816,0,0,0,0,0,0,0,0,0,0.0809897144771478,0,0,0,1.59022520096146e-13,0,0.257852979395414,0,0,0,0.0513966902535329,0,0,0,0,0,0,0,0,0,0,0,0,0,8.23359006263899e-08,5.08755593764389e-18,0,0,0,0,0.171154752626305,0,0,0,0,0,0,0,0,0,0,0,4.97002429774354e-09,0,0,0,0,0,0,0,0,0
"6","5",3.57337264416154e-05,0,0,0,0,0,0,0,0,0,0,0,0,-1.20789083664172e-17,0.000675957101939484,0,0,0,0,-1.05269661765153e-20,0,0,0.0120208519142764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73014951424076e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42270401117696e-05,0,0,0,0,0,0,0,0.000564815754006059,0,0,0,0,0,0,0,0,0,0.0830714094717923,0,0.140328237055928,0,0,0,0,0,0.762017128248785,0,4.25628990881731e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126738339681116,-3.92903747768727e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.30806823705477e-20,0,0,-1.48788119572379e-20,8.39341533329755e-20,0,0,0
"7","6",0,0,0,0,0,0,0.572398242025229,0,0,0,0,0,0,0,0.000589733576885853,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.19033593228552e-17,0,0,0,0,0,-3.33907966476483e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72557204878825e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01749174682754e-05,4.82871203740441e-05,0,0,0,-2.87882591782939e-19,0,2.67581049144034e-18,0,0,0,0.0183863782743597,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315943893997692,0,0,0,-7.98942528170789e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429969537927292,0,0.0495590805747737,0
"8","7",0,0,0,2.08504515844946e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39415399498519e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.759951648636077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.12823132000467e-17,0,0,0.224393574049191,0,0,0,0,0,0,0,0,0,0.0156547773147318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","8",1.55087452853762e-07,0,0.154165579234668,0.000451135926783383,0,0,0,0,0,0,0,0,0,0,0.351671251899024,0,0,0,0,0,0,0,0,0.00426152923620817,0,0,0.0272976963427133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000261810010987582,0,0,4.22039264117305e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10285897279484e-08,0,-1.09341798277493e-18,0,0,0,0.232868958586981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2290218284262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5943235349521e-19,0
"10","9",2.23483264154506e-17,0,0,0.0487072276563757,0,0,0,0,0,0,0,0,0,0.0138088879960439,0.326397732359986,-9.75326071791328e-19,0,0,0,0.000789868971434082,0,0.229991506127098,0,0,0,0,0,0,-1.06703603952175e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.52325212450032e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379395294125777,0,0,0,0,0,0,0.000550708224018636,0,0,0,0,0,0,0,0,0,0,-2.11819793146213e-17,0,0,0,0,-2.98651440783538e-17,0,0,0,0.000232814183549835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012596035571638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
