"","cell_ID","L4_5 IT CTX","L2_3 IT CTX","L5 NP CTX","Sst Chodl","Car3","L6 CT CTX","Sst","L5_6 IT CTX","L6 IT CTX","Pvalb","Lamp5","DG","L2_3 IT RSPv","L6b_CT ENT","L4 RSP-ACA","Vip","L5 PT CTX","L5 IT CTX","Oligo","L2_3 IT RSP","CA1-ProS","Micro-PVM","Sncg","L2 IT ENTl","SUB-ProS","L2_3 IT APr","NP PPP","L2_3 IT PPP","L3 IT ENTm","L6b CTX","Astro","NP SUB","CA1","L3 IT ENTl","L2_3 IT ENTl","CT SUB","L2_3 IT HATA","Lamp5 Lhx6","Endo","L6 IT ENTl","L5 IT TPE-ENT","Meis2 HPF","L2 IT PAR","L5 NP CT CTX ","L5 PPP","Pax6","Ndnf HPF","L2 IT ENTm","CA3","L2_3 IT ProS","CA2-IG-FC","SUB","SMC-Peri","CR"
"1","0",0,0,0,0,0,0.130155003522666,0,0,0,0,0,0,0,0,0.0152665328329317,0,0,0.740099073577776,0,0,0,0,0,0,0,0,0,0,0,0.111974551502841,0,0,0,0,0,0,0,0,0,0,0.00250483856378467,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","1",0,0,0,0,0,0.00545225127493304,0,0.00909676465791577,0,0.33012906161726,0.209480385377091,0,0,0,0.0116423337737168,0,0,0,0,0.338865451169697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0953337521293868,0,0,0,0,0,0,0,0,0,0,0,0,-1.58019629010906e-19
"3","2",0,0,0,0,0.620493856674155,0,0,0,0,0,0,0,0.285641239851029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093864903474816,0,0,0,0,-6.99275104575718e-21
"4","3",0,0,0,0,0,0,0,0.335816506902392,0,0,0.438466908137403,0,0,0,0.00178315533113102,0,0,0,0,0.223872331879377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.10977496969767e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","4",0,0,0,0,0,0,0,0.0266699821192346,0,0.164933575990998,0,0,0,0,-5.48414476857236e-19,0,0.363469705897007,0,0,0.441976523266532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00295021272622887,0,0,0,0,0,0,0,0,0,0,0,0,-6.84789163142906e-21
"6","5",0,0,0,0,0,0.0158655770938164,0,0,0,0.152540563255414,0,0,0,0,0,0,0,0,0,0.250361041300169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5812328183506,0,0,0,0,0,0,0,0,0,0,0,0,-1.93975557352847e-19
"7","6",0,0,0,0,0,0.118896988526843,0,0.228069819964332,0,0,0,0,0,0,1.03426611182048e-20,0,0,0.23168904147302,0,0.421344150035805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45229377967248e-22,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","7",0,0,0,0.0177572618556633,0.0488834460007268,0,0,0,0,0,0.232020902526733,0,0,0,0,0.410272271912207,0,0,0,1.25366409627066e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289332415523479,0,0,0,0,0,0,0,0,0,0,0,0,0.00173370218119111
"9","8",0.197143761335257,0,0,0,0,0.111459129332655,0,0.598692248711366,0,0,0,0,0,0,0.000151803266646442,0,0,0,0,0.0925530573540755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16589294093212e-19,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","9",0,0.34280089680026,0,0,0.305249007170898,0.178416102300163,0,0.110535509811022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0629984839176562,0,0,-7.96147212767268e-20
