"","cell_ID","T_cells","Mac_Mono","B_cells","Neutrophils","Plasma","Mast","DCs","Fibroblast","Endothelial","Alveolar_type_2","Ciliated_cells","Club_cells","Alveolar_type_1"
"1","0",0.455981030251794,0.227060935591847,0,0,0,0,0.31695803415636,0,0,0,0,0,0
"2","1",0,0.663852797338048,0,0,0.336147202661952,0,0,0,0,0,0,0,0
"3","2",0.211630822854938,0,0,0,0.417677702701908,0,0,0.285575156025224,0.0851163184179302,0,0,0,0
"4","3",0.242404992346169,0,0,0,0,0,0,0.250339061980494,0,0.507255945673337,0,0,0
"5","4",0,0.445862203628797,0,0,0,0,0.554137796371203,0,0,0,0,0,0
"6","5",0.857488224382442,0.142511775617558,0,0,0,0,0,0,0,0,0,0,0
"7","6",0,0.665722434220577,0,0,0,0,0,0,0.334277565779423,0,0,0,0
"8","7",0,1,0,0,0,0,0,0,0,0,0,0,0
"9","8",0,0,0,0,0,0,0,1,0,0,0,0,0
"10","9",0.289944013910047,0.147170384257522,0,0,0.562885601832432,0,0,0,0,0,0,0,0
"11","10",0,0.215200554952411,0,0,0,0,0,0.516680035626823,0.268119409420766,0,0,0,0
"12","11",0,0.171134705563602,0,0,0.828865294436398,0,0,0,0,0,0,0,0
"13","12",0.333122521850911,0,0,0,0.666877478149089,0,0,0,0,0,0,0,0
"14","13",0.162400569413785,0,0,0,0,0,0.351148629561061,0,0,0.486450801025153,0,0,0
"15","14",0,0,0,0,0,0,0,1,0,0,0,0,0
"16","15",0,0,0,0.0650975223790557,0,0,0,0,0.934902477620944,0,0,0,0
"17","16",0.408938086342403,0.355137279977059,0,0,0,0,0.235924633680538,0,0,0,0,0,0
"18","17",0,0.0916565414095262,0,0,0.250656506791251,0,0,0.657686951799223,0,0,0,0,0
"19","18",0,0,0,0,0.237131230400478,0,0,0,0.186575868922652,0,0,0.57629290067687,0
"20","19",0.409499224616473,0,0,0.282780261999469,0.307720513384058,0,0,0,0,0,0,0,0
"21","20",0.147086425090046,0,0,0,0,0,0,0.852913574909955,0,0,0,0,0
"22","21",0,1,0,0,0,0,0,0,0,0,0,0,0
"23","22",0.228702916175846,0,0,0,0,0.562576709002595,0,0.208720374821559,0,0,0,0,0
"24","23",0.215030917690607,0,0,0,0.447452734445572,0,0,0,0,0.186908579790238,0,0.150607768073583,0
"25","24",0,0.4486660512381,0,0,0,0,0,0.0989349237705916,0,0,0.452399024991308,0,0
"26","25",0,0.170893495707212,0,0,0,0.469830782103349,0,0.359275722189439,0,0,0,0,0
"27","26",0.812046470688953,0.187953529311047,0,0,0,0,0,0,0,0,0,0,0
"28","27",0.156269778826032,0.843730221173968,0,0,0,0,0,0,0,0,0,0,0
"29","28",0,0.670226811846195,0,0,0.202699969628834,0,0,0.127073218524971,0,0,0,0,0
"30","29",0,0.237628846740792,0,0,0.478446109268494,0,0,0,0.283925043990714,0,0,0,0
"31","30",0,0.729357816134856,0,0,0,0,0,0,0,0,0.270642183865144,0,0
"32","31",0,0.103412007174194,0,0,0.661795938687527,0,0,0.234792054138279,0,0,0,0,0
"33","32",0.655568583813425,0.0826574162418387,0,0,0,0.125174705095472,0,0.136599294849265,0,0,0,0,0
"34","33",0,0,0,0,0.842709538891298,0,0,0.157290461108702,0,0,0,0,0
"35","34",0,0.197293738692816,0,0,0,0,0,0.285797531797925,0,0,0,0.464978313148872,0.0519304163603867
"36","35",0,0.132133733971657,0,0,0,0,0,0.867866266028343,0,0,0,0,0
"37","36",0.226317345809627,0.326894303260295,0,0,0.228112236120671,0,0.218676114809407,0,0,0,0,0,0
"38","37",0,0.352092486112432,0,0,0,0,0.358629773903711,0,0.289277739983857,0,0,0,0
"39","38",0.404004194493515,0.595995805506485,0,0,0,0,0,0,0,0,0,0,0
