"","cell_ID","Endothelial Cell","Thick Ascending Limb","Distal Convoluted Tubule","Proximal Tubule","Connecting Tubule","Principal Cells","Intercalated Cells Type A","Intercalated Cells Type B","Mesangial Cells","Leukocyte"
"1","0",0,0,0,0.481800607411892,0,0.30157820424512,0.216621188342988,0,0,0
"2","1",0,0.508784108438319,0,0.155091053975845,0,0.287619857108996,0,0,0,0.0485049804768401
"3","2",0,0,0,0.66922064038472,0,0.33077935961528,0,0,0,0
"4","3",0.123387345864786,0,0,0.613679304698652,0.262933349436561,0,0,0,0,0
"5","4",0.349909143844819,0,0,0.251195071907681,0,0.251075506327795,0.147820277919705,0,0,0
"6","5",0,0.226130285932009,0,0.197888545189415,0,0.257013738035015,0,0,0,0.318967430843561
"7","6",0.0834053353412176,0,0,0.439369156322181,0,0,0,0,0.477225508336601,0
"8","7",0,0.117926694293889,0.246230689447026,0.368316068943057,0,0.267526547316028,0,0,0,0
"9","8",0,0,0,1,0,0,0,0,0,0
"10","9",0.240897382517963,0.279225381296745,0.138813256861881,0.113658000302617,0,0,0,0,0,0.227405979020794
"11","10",0,0.406901872981825,0,0,0,0.3493079284341,0,0,0,0.243790198584075
"12","11",0,1,0,0,0,0,0,0,0,0
"13","12",0.114923123927194,0,0,0.326000637081826,0,0.559076238990981,0,0,0,0
"14","13",0,0,0,0.57998491503315,0,0.191066664441647,0.228948420525203,0,0,0
"15","14",0,0.634036427972461,0.365963572027539,0,0,0,0,0,0,0
"16","15",0.486353623338026,0,0,0,0,0.322321594600029,0,0.191324782061945,0,0
"17","16",0,0,0.693561914085263,0.306438085914737,0,0,0,0,0,0
"18","17",0,0.887484618211464,0,0,0,0,0,0,0,0.112515381788536
"19","18",0.228545623452637,0,0,0.263925399018967,0,0.507528977528396,0,0,0,0
"20","19",0,0,0,0.0838238504251818,0,0.916176149574818,0,0,0,0
"21","20",0.250700941160669,0,0,0.436638369902618,0,0,0,0,0.186452632421451,0.126208056515262
"22","21",0.213930682731541,0,0,0.447876713765982,0,0.199623303951328,0,0,0.138569299551149,0
"23","22",0,0,0.169970435920415,0.366400416987346,0,0.107367561784745,0.115858909901543,0.240402675405951,0,0
"24","23",0.13595864756782,0.547502836192495,0,0,0,0.161861123849337,0,0,0.154677392390348,0
"25","24",0,0.920399077302485,0,0,0,0.0796009226975152,0,0,0,0
"26","25",0,1,0,0,0,0,0,0,0,0
"27","26",0,0,0,0.485457768832739,0,0.220294537052358,0,0,0,0.294247694114903
"28","27",0,0.77376467820801,0,0.22623532179199,0,0,0,0,0,0
"29","28",0,0.413819006797545,0,0.307823610580644,0,0.278357382621812,0,0,0,0
"30","29",0,0,0,0.236994568638503,0,0.514337747159334,0,0,0,0.248667684202163
"31","30",0,0,0,0.365546840092379,0,0.444459551457592,0,0,0,0.189993608450029
"32","31",0,0,0,0.348504738087943,0,0.14503057597026,0,0,0,0.506464685941797
"33","32",0,0.354881417201444,0.335006141906565,0.310112440891992,0,0,0,0,0,0
"34","33",0,0.185488783387998,0,0.624217717765611,0,0,0,0,0,0.190293498846391
"35","34",0,1,0,0,0,0,0,0,0,0
"36","35",0,0.394241722789818,0,0.291455328442877,0,0.314302948767305,0,0,0,0
"37","36",0,0,0,0.211015019040539,0,0.788984980959461,0,0,0,0
"38","37",0,0.378641965805401,0,0.621358034194599,0,0,0,0,0,0
"39","38",0,0,0,0.398766360252617,0,0.38528245452489,0,0,0,0.215951185222493
"40","39",0.241469701638063,0,0,0.150084858320339,0,0.347708475484545,0,0,0.260736964557053,0
"41","40",0,0.614269611903684,0,0.246853695494754,0,0.138876692601561,0,0,0,0
"42","41",0,0.207291069811715,0.269553265858074,0.247035973497099,0,0.276119690833111,0,0,0,0
"43","42",0,0,0,0.385060066331937,0,0,0.434144629143446,0.180795304524617,0,0
"44","43",0,0.624544066341348,0,0,0,0.375455933658652,0,0,0,0
"45","44",0,0,0,0.708178198191531,0,0.291821801808469,0,0,0,0
"46","45",0,0,0,0.56850470118873,0,0.170664645770304,0.260830653040966,0,0,0
"47","46",0,0.259146558793611,0,0.366061354857832,0.374792086348557,0,0,0,0,0
"48","47",0,0.665439572847486,0.281469361382055,0,0,0.0530910657704586,0,0,0,0
"49","48",0.142227332773748,0.499782171613376,0,0,0,0.23420975270585,0,0,0,0.123780742907026
"50","49",0,0,0,0.405031641965642,0,0.594968358034358,0,0,0,0
"51","50",0,0.6514718328058,0,0,0,0.3485281671942,0,0,0,0
"52","51",0,0.203989211395022,0,0.414342770515937,0,0,0,0.381668018089041,0,0
"53","52",0,0.137169853412279,0,0.338742204492531,0,0.444755628750835,0,0,0,0.0793323133443552
"54","53",0,0,0,0,0,1,0,0,0,0
"55","54",0,0.532650747812968,0,0,0.16771888169558,0.299630370491452,0,0,0,0
"56","55",0,0.148860182312383,0,0.204509840186304,0,0.448218975765202,0,0,0,0.198411001736111
"57","56",0,0.204746206912957,0.210170055465333,0.247869917964761,0,0.337213819656949,0,0,0,0
"58","57",0.174126006019369,0.502086235426501,0,0.32378775855413,0,0,0,0,0,0
"59","58",0,0.258026016684006,0,0.328636764258429,0.160623957147718,0.252713261909847,0,0,0,0
"60","59",0,0.11745200836345,0,0.15473902358662,0,0.481671864762459,0,0.185102769238439,0,0.061034334049033
"61","60",0.162890103924296,0,0,0.0889558974328017,0.116581918973716,0,0.631572079669186,0,0,0
"62","61",0,0.256471479697276,0.338092984038957,0.405435536263767,0,0,0,0,0,0
"63","62",0,0.712308764156265,0,0.251664143214925,0,0,0,0,0,0.0360270926288097
"64","63",0,0.62412693905414,0.37587306094586,0,0,0,0,0,0,0
"65","64",0,0.39148319056032,0.197318076974886,0.123990398926978,0,0,0.287208333537815,0,0,0
"66","65",0,0,0,0.176301155425222,0,0.508260150691728,0.315438693883049,0,0,0
"67","66",0,0.338685944943656,0,0.484256723310732,0,0.177057331745612,0,0,0,0
"68","67",0,0.558127891721366,0,0.282844282183187,0,0.159027826095446,0,0,0,0
"69","68",0,0,0,0.46803257280894,0,0.53196742719106,0,0,0,0
"70","69",0,0.173002273083684,0,0.826997726916316,0,0,0,0,0,0
"71","70",0.155546857839468,0,0,0.387025305270635,0,0.457427836889897,0,0,0,0
"72","71",0.208966788694304,0.282447384076183,0,0.147284818540425,0,0,0.361301008689088,0,0,0
"73","72",0,0.167358524387126,0,0.44437118818355,0,0.388270287429324,0,0,0,0
"74","73",0,0.416754922040091,0.243933686880595,0.223272485819699,0.116038905259614,0,0,0,0,0
"75","74",0,0.692158596050278,0,0.307841403949722,0,0,0,0,0,0
"76","75",0.334857585229044,0,0.0902133369777899,0,0,0.219136420946277,0,0,0,0.355792656846889
"77","76",0,0,0,0.201686400840822,0,0.351908602620782,0.193991172215639,0,0,0.252413824322757
"78","77",0,0.3630387443428,0,0.347945882371064,0,0.184650952209925,0,0,0,0.104364421076211
"79","78",0,0.701195131082157,0,0,0,0.298804868917843,0,0,0,0
"80","79",0,0.599804566114285,0,0,0,0.400195433885715,0,0,0,0
"81","80",0.15688600361368,0.0707972604724121,0.175718636440544,0,0,0.205182985621573,0,0.143714079257181,0,0.24770103459461
"82","81",0,0.211905188903289,0,0.24174126704758,0,0,0,0.198367675993874,0.218168928721407,0.129816939333851
"83","82",0,0,0.312946156026825,0.405800729241159,0.281253114732016,0,0,0,0,0
"84","83",0,0.643178049086691,0,0.22183680112327,0,0.134985149790039,0,0,0,0
"85","84",0.328618012150379,0.500420191166937,0,0.170961796682684,0,0,0,0,0,0
"86","85",0,0,0,0.56270013223166,0,0,0.43729986776834,0,0,0
"87","86",0,0.829912092869381,0,0.17008790713062,0,0,0,0,0,0
"88","87",0,0.47191913748774,0,0.52808086251226,0,0,0,0,0,0
"89","88",0,0.485859802261581,0,0.350786085153274,0,0,0,0,0,0.163354112585145
"90","89",0,0,0,0.590683584860389,0,0,0,0,0.221921164613168,0.187395250526442
"91","90",0,0.420635857146592,0.260240297858461,0.112197453933614,0,0,0,0,0.206926391061333,0
"92","91",0,0,0,0.18851853707934,0,0.811481462920659,0,0,0,0
"93","92",0,0,0,0.396029728435507,0,0.603970271564493,0,0,0,0
"94","93",0,0.239302578037946,0,0.374864160560666,0.18816517485148,0,0.197668086549908,0,0,0
"95","94",0,0.415807192502301,0.584192807497699,0,0,0,0,0,0,0
"96","95",0.160413638046355,0.590119692640056,0,0.249466669313589,0,0,0,0,0,0
"97","96",0,0.325835792265609,0,0.368240100998422,0,0.14934951305601,0,0.156574593679959,0,0
"98","97",0.662025188999504,0,0,0.337974811000496,0,0,0,0,0,0
"99","98",0,0,0.224573410968817,0.494834336564242,0,0,0,0,0.117825238596568,0.162767013870372
"100","99",0,0,0,0.594940732292717,0,0.405059267707283,0,0,0,0
"101","100",0,0.160243003494521,0,0.143274279106442,0,0.550461050122106,0,0,0,0.14602166727693
"102","101",0,0.742257524286118,0,0.257742475713882,0,0,0,0,0,0
"103","102",0.11230178719245,0,0,0.581157010465647,0,0,0,0,0.306541202341903,0
"104","103",0,0.139728112019492,0,0.600347806509546,0,0,0,0,0.259924081470962,0
"105","104",0,0.385909281818734,0,0.267042795534013,0,0.0501509973814183,0.296896925265835,0,0,0
"106","105",0,0.326922018304243,0,0.203025701735366,0.163970612161023,0,0,0,0,0.306081667799368
"107","106",0,0,0,0.144054522337302,0,0.199587198578417,0.430446606702548,0,0.225911672381733,0
"108","107",0.44571260256692,0.370888443126592,0,0.183398954306488,0,0,0,0,0,0
"109","108",0.212200821694279,0,0,0,0,0.224612173085913,0,0.0983767673932651,0.19609178185213,0.268718455974412
"110","109",0,1,0,0,0,0,0,0,0,0
"111","110",0,0.191675764050084,0,0,0,0.402884800422154,0.405439435527762,0,0,0
"112","111",0.102899077645207,0.408355793713076,0,0.488745128641717,0,0,0,0,0,0
"113","112",0.0407699685580798,0,0,0.224494418634091,0,0,0,0,0.571681425749228,0.163054187058601
"114","113",0,0.402958163995432,0,0.444021630849932,0,0,0,0,0,0.153020205154637
"115","114",0.109921857640473,0.336775899776811,0,0.2936870346748,0,0.259615207907917,0,0,0,0
"116","115",0.164481798311969,0,0,0.451381957940656,0,0.384136243747375,0,0,0,0
"117","116",0.0960639444374971,0,0,0,0,0.49280561483743,0.411130440725073,0,0,0
"118","117",0,0,0,1,0,0,0,0,0,0
"119","118",0.188799956429095,0.308399377368384,0,0,0,0.301835328199158,0,0,0,0.200965338003363
"120","119",0,0.195728180066495,0,0.308235875874717,0,0.328091191461347,0,0,0.11626142543598,0.0516833271614621
"121","120",0,0,0,0.570252035486651,0,0.210768259687893,0,0,0,0.218979704825456
"122","121",0.091349951215811,0,0.274176789905884,0.153184452748342,0,0,0.481288806129963,0,0,0
"123","122",0.224058446881995,0,0.343316834753947,0.177863810461072,0,0,0.254760907902985,0,0,0
"124","123",0.455375689573732,0,0,0.544624310426268,0,0,0,0,0,0
"125","124",0,0.720416725517674,0,0.108904102606703,0,0.170679171875622,0,0,0,0
"126","125",0,0.585580794794656,0,0.233111072897982,0,0,0,0,0,0.181308132307362
