,Astro L1 FGFR3 SERPINI2,Astro L1-6 FGFR3 AQP1,Astro L1-6 FGFR3 PLCG1,Endo L2-5 NOSTRIN SRGN,Exc L2 LAMP5 KCNG3,Exc L2 LINC00507 ATP7B,Exc L2 LINC00507 GLRA3,Exc L2-3 LINC00507 DSG3,Exc L2-3 RORB CCDC68,Exc L2-3 RORB PTPN3,Exc L2-3 RORB RTKN2,Exc L3 LAMP5 CARM1P1,Exc L3 RORB OTOGL,Exc L3 THEMIS ENPEP,Exc L3-5 FEZF2 ASGR2,Exc L3-5 FEZF2 LINC01107,Exc L3-5 RORB LAMA4,Exc L3-5 RORB LINC01202,Exc L3-5 RORB LNX2,Exc L3-5 RORB RPRM,Exc L3-5 RORB TNNT2,Exc L5 FEZF2 CSN1S1,Exc L5 FEZF2 NREP-AS1,Exc L5 FEZF2 PKD2L1,Exc L5 FEZF2 RNF144A-AS1,Exc L5 RORB MED8,Exc L5 THEMIS FGF10,Exc L5 THEMIS LINC01116,Exc L5 THEMIS RGPD6,Exc L5 THEMIS SLC22A18,Exc L5 THEMIS VILL,Exc L5-6 FEZF2 C9orf135-AS1,Exc L5-6 FEZF2 CFTR,Exc L5-6 FEZF2 FILIP1L,Exc L5-6 FEZF2 IFNG-AS1,Exc L5-6 FEZF2 LPO,Exc L5-6 FEZF2 OR1L8,Exc L5-6 FEZF2 SH2D1B,Exc L5-6 THEMIS SMYD1,Exc L5-6 THEMIS TNFAIP6,Exc L6 FEZF2 FFAR4,Exc L6 FEZF2 KLK7,Exc L6 FEZF2 PDYN,Exc L6 FEZF2 POGK,Exc L6 FEZF2 PROKR2,Exc L6 THEMIS LINC00343,Exc L6 THEMIS SLN,Exc L6 THEMIS SNTG2,Inh L1 LAMP5 BMP2,Inh L1 LAMP5 NMBR,Inh L1 LAMP5 PVRL2,Inh L1 LAMP5 RAB11FIP1,Inh L1 PAX6 CHRFAM7A,Inh L1 PAX6 MIR101-1,Inh L1 PVALB SST ASIC4,Inh L1 SST DEFB108B,Inh L1 SST P4HA3,Inh L1 VIP KLHDC8B,Inh L1-2 PVALB CDK20,Inh L1-2 SST CCNJL,Inh L1-2 SST CLIC6,Inh L1-2 SST PRRT4,Inh L1-2 VIP EXPH5,Inh L1-2 VIP HTR3A,Inh L1-2 VIP PTGER3,Inh L1-2 VIP SCML4,Inh L1-2 VIP WNT4,Inh L1-3 SST FAM20A,Inh L1-3 VIP CBLN1,Inh L1-3 VIP CHRNA2,Inh L1-3 VIP FNDC1,Inh L1-3 VIP HSPB6,Inh L1-5 VIP CD27-AS1,Inh L1-5 VIP LINC01013,Inh L1-5 VIP PHLDB3,Inh L1-5 VIP SMOC1,Inh L1-6 LAMP5 AARD,Inh L1-6 LAMP5 CA1,Inh L1-6 LAMP5 NES,Inh L1-6 PVALB COL15A1,Inh L1-6 SST NPY,Inh L1-6 VIP SLC7A6OS,Inh L2 PAX6 FREM2,Inh L2 PVALB FRZB,Inh L2 VIP SLC6A16,Inh L2-3 SST NMU,Inh L2-5 PVALB HHIPL1,Inh L2-5 PVALB RPH3AL,Inh L2-5 VIP BSPRY,Inh L2-5 VIP SOX11,Inh L3 PVALB SAMD13,Inh L3-5 PVALB ISG20,Inh L3-5 SST CDH3,Inh L3-5 SST GGTLC3,Inh L3-5 SST OR5AH1P,Inh L3-5 VIP HS3ST3A1,Inh L3-5 VIP IGDCC3,Inh L3-5 VIP TAC3,Inh L3-6 PAX6 LINC01497,Inh L3-6 VIP UG0898H09,Inh L3-6 VIP ZIM2-AS1,Inh L5 PVALB LRIG3,Inh L5 SST RPL35AP11,Inh L5-6 LAMP5 CRABP1,Inh L5-6 PVALB FAM150B,Inh L5-6 PVALB GAPDHP60,Inh L5-6 PVALB KCNIP2,Inh L5-6 PVALB MEPE,Inh L5-6 PVALB SST CRHR2,Inh L5-6 PVALB ZFPM2-AS1,Inh L5-6 SST BEAN1,Inh L5-6 SST C4orf26,Inh L5-6 SST DNAJC14,Inh L5-6 SST FBN2,Inh L5-6 SST ISX,Inh L5-6 SST KLHL1,Inh L5-6 SST PAWR,Inh L5-6 SST PIK3CD,Inh L5-6 VIP COL4A3,Inh L6 SST TH,Micro L1-6 TYROBP CD74,OPC L1-6 PDGFRA COL20A1,Oligo L2-6 OPALIN FTH1P3,Oligo L2-6 OPALIN MAP6D1,Oligo L3-6 OPALIN ENPP6,Oligo L3-6 OPALIN LRP4-AS1,Oligo L5-6 OPALIN LDLRAP1,VLMC L1-5 PDGFRA COLEC12
0,2.8870448e-09,1.9026454e-09,1.880131e-09,0.003211806,0.0053294483,6.625102e-08,2.2970614e-08,1.39466705e-08,2.3128989e-08,2.0485892e-08,5.2678e-08,1.8505556e-08,3.907114e-08,3.5452615e-08,8.6472895e-08,4.6813096e-08,4.5459284e-08,2.4781649e-08,0.032413345,4.0033035e-07,5.0342297e-08,1.3005035e-07,9.185927e-08,1.1919976e-07,6.182538e-08,4.2249095e-08,5.6218575e-08,0.01917092,0.08333255,4.882021e-07,4.474583e-08,0.091460824,3.0952204e-08,0.045379587,2.1257308e-07,8.965761e-07,0.061263677,0.050678674,3.285748e-08,9.717757e-08,9.770544e-06,1.1953429e-07,8.776645e-08,0.024008766,0.0031614343,5.2751243e-08,2.0777794e-08,3.3525554e-05,3.7729757e-09,4.064851e-09,5.0692783e-09,7.2989295e-09,5.176029e-09,4.742171e-09,7.82496e-09,1.3013905e-08,7.939335e-09,4.9045368e-09,1.2281549e-07,1.752693e-06,5.301975e-07,2.2847243e-07,1.264829e-08,1.185304e-08,6.4672804e-08,3.4835654e-08,5.7694685e-09,0.07969621,1.0875126e-08,8.92149e-09,2.5880374e-07,9.366665e-09,5.4099596e-09,7.603941e-09,1.2028414e-08,5.4169442e-09,8.248101e-09,1.6046652e-08,9.440318e-09,1.8329741e-08,0.002092363,4.403823e-09,5.098864e-09,0.01907705,1.3264922e-08,0.011889931,1.0621126e-07,2.199338e-07,1.10417995e-08,1.0665577e-08,9.2256585e-08,0.0007245013,2.0844324e-07,0.09173154,3.8741197e-07,7.2222655e-09,5.95345e-09,1.3358941e-08,1.7141247e-08,9.601625e-09,7.579962e-09,5.875968e-08,0.03396865,2.5291843e-08,1.08698806e-07,0.033636887,4.6553374e-08,1.3494802e-07,6.615531e-08,2.1289314e-07,5.90372e-08,4.851687e-08,2.7947044e-07,5.852911e-08,5.213134e-08,2.9571402e-07,0.019426474,0.011396589,1.0527397e-08,3.1911718e-08,1.9972342e-09,5.935201e-09,0.092398,0.069037825,0.06829939,0.015035603,0.02392551,0.008200031
1,2.2244622e-09,2.8347475e-09,1.6482921e-09,2.6685136e-09,0.032686777,0.025523422,0.09885291,1.38324e-06,8.706571e-08,0.06762915,7.6275273e-06,1.1902027e-07,3.614454e-08,7.2552574e-08,4.0203037e-08,5.1019587e-08,3.414647e-08,6.9228264e-08,1.6131014e-07,0.015206708,4.5628735e-08,1.2400038e-07,3.510021e-08,4.309699e-08,7.512143e-08,9.0352515e-08,7.416039e-08,1.4351523e-06,0.07087575,5.698898e-08,6.554524e-08,0.10009299,1.5489486e-07,0.00986603,4.748468e-08,3.904264e-08,0.08510243,0.038833525,3.961115e-08,1.00319184e-07,1.5305433e-05,5.1476104e-06,5.376039e-07,0.082774006,4.493191e-07,0.048366446,7.563784e-06,0.0062216097,6.4834285e-09,7.0762813e-09,6.7621864e-09,1.0049265e-08,6.742495e-08,1.8314205e-08,3.7331954e-08,2.5681514e-08,2.4102771e-08,0.0261361,4.6010232e-08,4.3625693e-08,7.338059e-08,9.632295e-08,3.0424182e-08,3.4825214e-07,0.0069000614,9.012714e-08,0.0055462657,1.9843714e-08,3.559994e-08,0.10119711,7.1242866e-08,3.4945157e-07,0.0067233425,2.5948177e-08,4.4373603e-08,0.0989169,1.0967238e-08,1.5405849e-08,1.1386102e-08,2.4979643e-08,5.720077e-09,0.011387334,2.3710169e-07,1.312477e-07,0.054777075,2.0396378e-08,3.7928178e-08,4.4577995e-08,1.4844606e-07,1.481542e-07,3.6204806e-08,7.506614e-08,5.5826636e-08,1.4679247e-08,2.5794618e-08,5.4099513e-07,1.9569022e-07,2.559462e-08,4.559915e-07,3.0626325e-08,2.6007609e-08,5.346275e-08,1.8098842e-08,2.0215511e-08,0.0024243335,7.2043986e-07,1.0760745e-07,8.842655e-07,3.1220914e-08,4.7049927e-08,1.03343176e-07,2.8193995e-08,3.3643104e-08,5.6823684e-08,2.3787466e-08,2.8854485e-08,3.124337e-08,2.251253e-08,0.0033262293,3.2468133e-08,1.791513e-08,4.138958e-09,8.9976937e-10,5.599735e-09,1.0992969e-09,1.20485e-09,8.8204316e-10,0.000586682
2,1.8052999e-09,1.6791789e-09,1.5769207e-09,1.4243808e-09,9.429584e-08,8.361315e-05,0.00032114272,0.08060616,3.020764e-08,1.8321201e-07,0.0056614885,0.081705496,8.349436e-08,0.08071494,6.3313905e-08,7.302043e-08,0.024113592,0.01999059,1.6087386e-05,0.08098133,0.048617277,0.021831011,1.4770577e-08,3.9467295e-08,1.8091905e-08,4.0464318e-05,0.059200205,0.03515563,0.0076791085,4.700567e-06,0.07973778,8.784127e-08,5.10725e-08,1.06618046e-07,1.4147981e-08,2.357198e-08,4.9154576e-08,7.230998e-08,1.442592e-07,0.07903025,2.5669937e-08,4.2521254e-08,5.333739e-08,3.278176e-08,3.333582e-08,0.076140404,0.02715277,0.030904822,8.770013e-09,9.106627e-09,9.450011e-09,9.376409e-09,4.6424308e-08,1.4662444e-08,1.0180189e-08,7.013228e-09,3.313579e-08,5.2167977e-09,2.4203628e-08,1.0083661e-06,6.08585e-08,3.9026634e-07,1.28391235e-08,7.947324e-09,2.244982e-08,1.2822936e-08,2.6583143e-08,3.9516814e-05,6.546884e-09,1.141812e-08,1.3237681e-08,1.05552225e-08,5.7945333e-09,5.6102283e-09,8.118696e-09,6.5585626e-09,7.968642e-09,8.6824175e-09,5.7539773e-09,3.486957e-08,7.3070603e-09,5.9155425e-08,8.169687e-08,2.4312563e-08,1.239581e-08,1.8127388e-07,3.1147422e-08,2.7842146e-08,9.285006e-09,6.791747e-09,6.546498e-08,1.3945148e-06,3.4196688e-08,0.08051079,1.3401753e-07,7.3572104e-09,4.7379256e-09,6.156534e-09,1.4250038e-08,6.4746173e-09,3.9045065e-09,3.9866748e-08,0.030298198,9.758616e-09,1.9061769e-08,2.132272e-08,3.951787e-08,1.9786336e-08,4.744045e-08,4.1464425e-08,5.564044e-08,8.161597e-06,1.5092596e-07,8.927473e-08,1.0657678e-07,4.7716126e-06,2.6743848e-07,0.049139682,1.1059187e-08,6.129602e-07,1.8049179e-09,3.2179428e-09,6.9060224e-10,4.516006e-09,8.1777973e-10,9.633051e-10,6.695953e-10,0.00030365726
3,2.6422766e-09,0.0009844095,3.489445e-09,3.3801293e-09,0.04734403,0.009359879,0.06277894,1.4643567e-07,3.653525e-07,1.9346721e-06,0.0706625,4.913216e-08,3.2232855e-08,3.828064e-08,4.7777403e-06,2.574354e-07,5.3315944e-08,4.8710287e-08,5.4932727e-08,0.01712659,4.2417785e-08,2.3854943e-07,9.10382e-08,1.14423386e-07,7.573507e-08,1.6069214e-07,1.08398055e-07,4.1327297e-08,0.028286748,4.9835112e-08,3.7535642e-08,1.02108125e-07,5.6335427e-08,1.2038632e-07,5.2939083e-07,0.01011623,6.307536e-08,0.013112968,3.2291865e-08,6.477318e-08,1.2156882e-07,6.667471e-08,0.0015779217,0.00858391,0.0049048974,1.4652876e-07,0.019806117,5.7235887e-08,1.5539477e-07,3.6357847e-08,0.015419047,0.06513144,1.1443561e-07,0.0052160807,2.9813165e-07,2.3776323e-07,0.008532148,1.5847046e-07,2.74107e-06,9.796562e-08,0.001484449,4.861493e-08,1.8795379e-07,1.0275678e-07,6.66397e-07,3.5317794e-07,4.251526e-08,3.7481772e-08,3.7323762e-08,7.843357e-08,0.001039128,2.8973622e-08,4.785697e-08,9.0580045e-08,2.922186e-08,2.162215e-08,0.07567589,0.018406384,0.07704817,1.6796379e-07,3.3683742e-09,0.022846822,3.542494e-08,8.979461e-08,0.041634347,9.677902e-08,0.02137115,0.0023795634,2.7193535e-08,1.4052814e-07,1.0388521e-06,2.6392547e-07,6.35659e-08,4.785971e-08,2.5082144e-08,1.395906e-08,3.2195658e-08,7.787992e-07,0.0041888095,7.783936e-08,0.008118071,0.07095983,5.269143e-08,0.044589825,0.026707403,3.4529083e-07,0.06411326,0.07525278,0.041866977,0.011924277,1.956254e-07,9.1756775e-08,4.958198e-08,0.00013409955,5.4607543e-08,1.5108292e-07,4.2861938e-08,2.3607047e-08,1.6927215e-08,0.0012951603,1.6779551e-09,7.019673e-09,1.450613e-09,1.0145578e-08,2.0507263e-09,1.7335948e-09,1.1498216e-09,4.082553e-09
4,0.010063744,3.458508e-08,0.04806076,0.00073123124,0.038590875,1.067303e-07,0.077806786,3.9727077e-08,0.101500675,0.099933304,0.09759593,3.0859916e-08,0.051326454,1.7132513e-07,0.008168959,0.015788656,0.09076475,0.046439786,0.07721406,7.9339365e-08,0.0014476968,4.0137433e-08,2.3979462e-07,4.127652e-08,0.007158678,1.9539123e-06,4.0078e-08,2.6311708e-08,3.0244557e-08,0.013659459,4.714021e-08,3.304208e-08,5.372207e-08,2.5119387e-08,1.1063112e-07,2.7737073e-08,4.0395324e-08,3.438159e-08,1.8662382e-08,3.761439e-08,0.02202291,7.9326135e-08,1.7415113e-07,0.022416648,6.5132554e-08,4.166476e-08,4.376484e-08,2.876859e-08,8.090175e-09,1.0652609e-08,7.497157e-09,1.4589579e-08,1.3948582e-07,2.7718773e-08,3.1360198e-08,3.1415365e-08,1.7112444e-06,1.5606842e-08,3.5517214e-08,0.0054395376,1.409956e-08,4.2440564e-07,1.7054953e-08,6.5851324e-08,0.012259058,8.7822326e-07,1.0454128e-07,1.5339964e-08,1.746264e-08,1.708432e-08,3.817302e-08,1.5615e-08,5.2675205e-08,1.2541301e-07,1.3027355e-07,1.4721966e-08,1.8867999e-08,3.46885e-08,3.9482597e-08,1.989965e-07,3.7517878e-09,1.052469e-08,3.5757015e-08,2.9575222e-08,5.780595e-08,1.8306277e-08,2.0140423e-08,2.1441489e-08,2.4984997e-08,2.7060267e-08,1.874459e-08,2.4747342e-08,1.1090888e-08,1.2331453e-08,8.661791e-09,1.3030788e-08,1.3528604e-08,4.1930544e-08,2.7492213e-08,4.8162384e-08,1.4502976e-08,2.9644237e-08,1.22673045e-08,8.682545e-08,0.021005236,3.487777e-07,2.9209104e-08,4.3488676e-08,1.7538644e-08,2.0958733e-08,8.365044e-08,4.2323602e-08,3.1343454e-08,6.718252e-08,1.8105125e-08,3.5110176e-08,1.2869965e-08,9.37193e-09,9.409318e-08,2.1298913e-08,9.776408e-09,0.0036133784,0.008523056,3.3336423e-07,0.014627809,0.085447244,0.01063391,0.00774992
5,2.461119e-09,2.860971e-09,2.4007443e-09,1.3084138e-09,1.006321e-08,1.1315222e-08,8.801958e-09,1.1063822e-08,1.2068911e-08,1.0929703e-08,9.751089e-09,1.3524439e-08,1.1437742e-08,1.2770021e-08,3.1127378e-08,2.4288962e-08,1.535881e-08,2.7832373e-08,1.04289315e-08,1.1114075e-08,1.41202054e-08,1.8908688e-08,2.1589221e-08,2.9712837e-08,1.767262e-08,9.492354e-09,9.851222e-09,1.1592326e-08,1.2263152e-08,1.0301545e-08,1.701534e-08,1.07069855e-08,7.949365e-09,1.04387325e-08,2.5502334e-08,3.1485367e-08,1.2389769e-08,1.228271e-08,0.0049783774,1.09778595e-08,1.3655232e-08,1.0091435e-08,2.3916282e-08,1.0850419e-08,8.430541e-09,1.03692495e-08,1.0377045e-08,1.161407e-08,3.3706687e-08,3.6131244e-08,2.6265466e-08,1.9635246e-08,1.608301e-08,5.7099722e-08,3.067755e-08,5.99299e-08,3.0466357e-08,1.4569687e-08,9.639854e-07,5.677643e-08,1.2017698e-07,3.396858e-08,0.11090166,4.214004e-08,0.016438322,1.1956077e-07,1.2193939e-08,5.9490272e-08,0.053006988,2.4896766e-08,0.05950247,0.104255155,3.5951754e-08,2.5827655e-08,2.6659723e-08,2.399336e-08,2.3289843e-08,4.2988283e-08,1.6412638e-08,4.5510265e-07,0.0029697018,1.0579169e-08,1.5233999e-08,0.012695931,1.02560385e-07,0.00027309445,6.4564997e-06,0.030760504,0.03246467,0.011189773,0.10949058,0.07287897,0.038012955,0.03047418,0.04510607,1.697173e-07,2.0775772e-08,6.1801764e-08,0.0076541873,4.792715e-08,3.247658e-08,0.00017540745,0.1081147,1.8898936e-08,1.177265e-06,0.018158432,1.217293e-06,1.2900499e-07,3.5762756e-07,0.035294153,0.0077971425,1.3067593e-07,7.355216e-08,0.01043112,0.003615705,1.482976e-06,0.07334482,3.9930063e-07,4.4174016e-08,3.2401594e-08,1.1179952e-08,3.1080132e-09,1.1213414e-09,4.5501203e-09,1.1124571e-09,1.468454e-09,1.3120739e-09,3.7149845e-09
6,2.6439935e-09,1.0763226e-08,1.5366088e-09,7.0419572e-09,0.0054407855,0.013589496,0.06540327,0.054598358,1.11410365e-07,8.224853e-07,0.017720597,0.06092457,3.446878e-07,0.025177306,1.1526633e-06,8.580002e-07,3.0848963e-07,0.0030071354,4.3810846e-07,1.5100428e-06,1.0659929e-05,0.0037537245,5.886051e-08,6.591553e-08,3.663081e-08,3.1932723e-05,5.2008025e-05,0.035538446,0.06693699,1.5713375e-06,0.042278234,0.06870976,0.0022841913,0.051650383,4.4327578e-08,2.732946e-07,0.048385534,0.066587776,1.8058035e-06,0.041559316,2.4392362e-05,0.011796095,2.2843338e-07,0.013276895,0.020540414,0.06560542,0.055380665,0.066478424,2.9823666e-09,3.023248e-09,3.6731485e-09,4.499774e-09,8.295493e-09,3.6049594e-09,7.671395e-09,6.2618795e-09,5.9061995e-09,4.777678e-09,7.3686874e-09,8.8299945e-09,6.514546e-09,8.99403e-09,6.2899983e-09,1.0237474e-08,3.915473e-08,3.525073e-08,1.6712711e-08,7.3398763e-09,6.001084e-09,7.25368e-09,9.258454e-09,5.615377e-09,5.1637263e-09,5.9581438e-09,7.627647e-09,5.09139e-09,4.0342276e-09,5.65218e-09,3.3974028e-09,7.265061e-09,0.0019831855,1.2436143e-08,4.2187782e-08,1.0927363e-08,1.215641e-08,7.6190245e-09,7.2302946e-09,8.072485e-09,8.927622e-09,1.03144115e-08,7.120951e-09,1.8048894e-08,6.600237e-09,8.1736715e-09,5.95439e-09,6.5035275e-09,5.535436e-09,8.864275e-09,6.630532e-09,7.893418e-09,4.039525e-09,9.683515e-09,6.269122e-09,4.905378e-09,1.2016597e-08,1.0200976e-08,1.2985241e-08,9.239243e-09,8.048809e-09,1.1351961e-08,2.0816769e-08,8.679704e-09,8.796668e-09,3.0105333e-08,7.1788127e-09,1.4336266e-08,8.529645e-09,8.301736e-09,6.8254447e-09,1.0370641e-08,1.6560583e-09,6.2647705e-09,0.04652925,0.028304724,2.1743556e-08,6.312165e-09,0.008557085,0.007873354
7,0.035582203,6.266505e-07,0.0177559,0.015615126,9.733884e-09,9.229687e-09,7.675948e-09,8.954351e-09,0.032956477,1.8593829e-08,1.0694842e-08,7.942934e-09,3.4888092e-08,9.972785e-09,1.0030363e-07,4.1328047e-08,3.4378775e-08,1.8035694e-08,0.06780902,0.04025638,1.3552894e-08,3.511108e-08,2.2456139e-07,2.1531007e-07,0.06711764,1.7464856e-08,1.3734793e-08,1.978123e-08,1.2282347e-08,1.9131813e-08,1.3144104e-08,1.1197025e-08,2.463533e-08,1.4877755e-08,0.0022003108,7.6862186e-08,1.6550096e-08,1.3943791e-08,8.576715e-09,1.5772086e-08,7.8341664e-08,1.346412e-08,2.206071e-08,2.3470598e-08,0.04673926,9.554522e-09,9.803399e-09,9.080662e-09,6.1800307e-09,6.124661e-09,8.895944e-09,1.5433613e-08,7.947602e-09,5.9246146e-09,7.375001e-09,1.5041474e-08,1.4822779e-08,1.5763348e-08,3.9387498e-08,2.8458038e-08,1.764491e-08,1.3356477e-08,4.7653405e-08,1.9292735e-08,0.0056027663,0.012542959,1.2738516e-08,2.1614497e-08,9.830132e-08,6.934918e-08,1.0654498e-07,1.9264403e-08,2.5119244e-08,3.326105e-08,8.040655e-08,4.5820396e-08,2.155059e-08,0.022297416,1.0830028e-07,0.0320092,4.0724334e-08,1.4525329e-08,1.42457885e-08,2.794787e-08,6.297346e-08,3.658813e-07,2.85825e-08,4.5534907e-08,4.7234046e-08,2.4694042e-08,2.5143784e-08,2.0512442e-08,1.3737308e-08,1.4100052e-05,9.249988e-09,2.514863e-08,1.4322389e-07,0.039145127,0.0077210683,3.369036e-08,1.22036425e-08,3.8935955e-08,2.3608568e-08,0.016692916,0.02178317,1.4787989e-07,4.3178744e-07,2.9662147e-07,1.2059018e-08,1.050399e-06,1.363577e-07,2.245997e-08,0.011946141,1.6892095e-07,1.4311504e-08,0.021426782,1.0892948e-07,0.015414943,0.00014834892,4.7019988e-08,5.5162763e-09,0.103696115,0.0978559,0.008884002,0.054359857,0.0914185,0.017637966,0.09336448
8,2.0018591e-09,2.3435545e-09,1.4131171e-09,1.820754e-09,0.044199925,0.026860815,0.09708182,0.09189038,0.002912451,0.0938346,0.09437657,0.00069056556,3.767017e-08,0.0104600685,0.008041707,1.3496924e-07,4.6510404e-08,1.04836595e-07,1.6579882e-07,8.737402e-08,9.979143e-07,8.519096e-08,4.767788e-08,2.4050905e-08,3.1962088e-08,2.8157366e-08,3.4537457e-08,3.2576832e-08,4.5523166e-08,1.477583e-07,2.380703e-08,5.8583502e-08,1.9302337e-07,5.6078292e-08,2.882112e-08,2.9373915e-08,5.468719e-08,5.038959e-08,2.4592872e-08,9.44466e-08,0.0036787188,2.305645e-07,2.4453884e-08,3.2682607e-07,3.249628e-08,0.028175484,0.073619336,1.04913404e-07,4.116944e-09,4.41526e-09,5.2507168e-09,1.0311951e-08,8.6934495e-09,5.290385e-09,7.8865705e-09,7.6891045e-09,7.76091e-09,5.161328e-09,0.09143001,8.116509e-08,0.0024112924,3.021305e-08,1.18649695e-08,1.0497759e-08,3.6890786e-08,2.859264e-08,9.432576e-09,1.3544889e-08,1.0417417e-08,8.726883e-09,4.4226084e-08,8.490942e-09,6.7747927e-09,9.991658e-09,1.0635003e-08,5.975005e-09,1.3053406e-08,2.587691e-08,7.015925e-09,6.366441e-08,3.2186867e-09,8.401557e-09,1.02273034e-08,0.023962136,1.9811553e-08,9.903916e-08,0.06825515,0.09351926,8.007946e-09,9.331952e-09,0.04746884,0.012604441,1.5190999e-08,1.5049615e-08,1.9126311e-08,5.528293e-09,5.752001e-09,1.6476871e-08,9.024507e-09,1.02114965e-08,4.0320014e-09,0.0038098765,1.3249029e-08,2.963816e-08,0.003796054,6.6741613e-06,1.665844e-06,1.6524643e-06,9.5526175e-08,0.076906465,4.9540617e-08,1.2909602e-08,2.1519154e-08,4.0554802e-08,1.5566743e-08,1.7013535e-08,1.3412044e-08,1.0194906e-08,7.768723e-09,1.5041365e-08,5.50986e-09,2.5606668e-09,6.882943e-10,5.144389e-09,7.438219e-10,9.208031e-10,6.6105554e-10,4.140146e-09
9,0.07713594,0.0718239,0.077938035,5.0587006e-09,0.07355475,0.072705165,0.07530779,0.07461254,1.18533464e-07,0.024388162,0.060958467,0.07257378,6.842043e-08,0.038025945,1.2484161e-06,0.017289903,1.5099266e-07,3.4540317e-06,7.097404e-08,0.021854455,1.3766341e-06,3.292393e-07,1.637118e-08,3.0474755e-08,2.6642963e-08,1.2694572e-07,0.007494912,0.021272797,0.015323973,6.973765e-08,1.1292888e-06,1.3664037e-07,0.015819054,6.557857e-08,1.8416975e-08,2.9739043e-08,4.8335416e-08,6.4940146e-08,9.344598e-08,0.025837721,8.244029e-08,1.5632219e-07,2.7388326e-08,2.0990132e-07,7.0146896e-08,0.048264954,0.059593555,0.035857912,1.1274666e-08,1.5202177e-08,7.2945117e-09,5.9179204e-09,1.891852e-07,0.009435792,4.6790785e-08,3.3945614e-08,4.628743e-08,6.633992e-09,1.1641664e-07,1.5419234e-08,1.1273473e-08,1.3135422e-08,3.572632e-08,1.548472e-08,5.9434046e-06,4.057884e-08,1.20871295e-08,8.866729e-09,1.4714242e-08,2.254745e-08,1.5572964e-07,1.386922e-08,1.7490113e-07,6.354206e-08,1.7440838e-08,1.0348192e-08,6.3657684e-09,1.6471452e-08,6.3237215e-09,4.495067e-08,2.6984937e-09,1.2376441e-08,1.5050322e-08,2.0308056e-07,2.9668538e-08,3.7060963e-07,3.5137962e-08,4.4816872e-08,1.5903296e-08,1.071337e-08,2.987993e-08,3.141368e-08,6.521495e-09,8.28317e-09,6.8511326e-09,1.0041749e-08,8.675942e-09,1.9524231e-08,6.2601417e-09,3.2159157e-08,1.2957088e-08,2.9547692e-08,7.0054993e-09,9.034255e-09,1.46739545e-08,1.3775511e-08,2.2876906e-08,4.0048054e-08,1.0781766e-08,1.01827666e-07,2.1652742e-08,7.830693e-09,1.3505093e-08,2.6264035e-08,6.7649446e-09,1.1682896e-08,8.254994e-09,8.443881e-09,7.939797e-08,8.288234e-09,0.0022927627,6.3615036e-05,1.4036989e-09,2.6810673e-08,2.6049503e-09,0.00055690325,1.2450243e-09,2.605849e-07
