,Astro,CA1,CA1-ProS,CA2-IG-FC,CA3,CR,CT SUB,Car3,DG,Endo,L2 IT ENTl,L2 IT ENTm,L2 IT PAR,L2_3 IT APr,L2_3 IT CTX,L2_3 IT ENTl,L2_3 IT HATA,L2_3 IT PPP,L2_3 IT ProS,L2_3 IT RSP,L2_3 IT RSPv,L3 IT ENTl,L3 IT ENTm,L4 RSP-ACA,L4_5 IT CTX,L5 IT CTX,L5 IT TPE-ENT,L5 NP CT CTX ,L5 NP CTX,L5 PPP,L5 PT CTX,L5_6 IT CTX,L6 CT CTX,L6 IT CTX,L6 IT ENTl,L6b CTX,L6b_CT ENT,Lamp5,Lamp5 Lhx6,Meis2 HPF,Micro-PVM,NP PPP,NP SUB,Ndnf HPF,Oligo,Pax6,Pvalb,SMC-Peri,SUB,SUB-ProS,Sncg,Sst,Sst Chodl,Vip
0,2.658796e-10,7.360722e-09,4.692722e-09,1.7200366e-08,1.2868826e-08,2.1569542e-07,2.2375069e-08,0.005501953,3.4062595e-09,2.600018e-10,0.0021915375,5.298146e-09,4.2703827e-09,3.786459e-09,6.3644348e-09,0.021998962,3.1958965e-08,6.335452e-09,3.5533168e-09,7.0852293e-09,5.188298e-09,0.014118935,3.392948e-07,0.00613411,0.05512953,0.22260259,0.28428724,2.8199667e-08,0.016988209,4.8423217e-09,0.015037182,1.3401801e-08,0.27906233,8.2263805e-09,4.1338337e-09,0.026403256,0.050543413,4.4566467e-10,7.339341e-10,1.7922829e-09,1.4211074e-10,8.456228e-08,1.0580533e-08,1.1886083e-09,3.8203538e-10,1.0885876e-09,6.7867395e-10,6.765969e-10,5.747894e-09,9.00679e-09,7.2106726e-10,5.1777244e-10,3.4482206e-10,4.9437965e-10
1,2.6265723e-10,4.0824677e-08,9.637203e-09,0.0033606803,6.5135777e-09,0.0028207488,1.4457636e-07,4.4454485e-09,1.112851e-08,2.900333e-10,0.0123275025,2.4819427e-08,0.00024099702,5.193654e-09,1.6281989e-08,9.478099e-09,5.424009e-09,1.8361613e-08,5.606782e-09,0.048899654,5.0460255e-07,1.1526314e-08,3.3751636e-08,0.02342026,0.012612046,9.286817e-08,1.2065195e-07,4.656838e-08,0.010145238,6.1465713e-09,9.657315e-09,1.01155665e-05,0.14090255,9.429576e-08,5.8650285e-09,5.7127654e-09,2.1777089e-08,0.24925168,0.1805739,0.0010293773,1.681404e-10,5.900873e-09,1.1300737e-08,1.8544699e-06,2.0817964e-10,0.07119019,0.2323839,4.0268286e-10,9.855783e-09,6.0976104e-09,1.2566732e-09,1.3678992e-09,0.0108280135,6.742811e-10
2,8.5318647e-10,1.469469e-08,6.8460033e-09,7.360754e-09,3.9256356e-08,0.0012968665,1.3741656e-08,0.6656133,1.1642229e-08,3.4429717e-09,2.1324322e-08,3.057156e-08,2.7666342e-08,1.577716e-08,8.474145e-09,1.3900668e-08,1.7949604e-08,1.2481412e-07,4.4574595e-08,8.997824e-09,0.3100128,1.3257271e-08,1.1210296e-08,4.9356053e-09,7.1378334e-09,6.6354513e-09,1.467179e-07,4.727669e-09,4.8468074e-09,7.667612e-09,4.2634998e-09,6.1661574e-09,4.312777e-09,1.7944915e-08,0.022972751,4.479129e-09,9.8834265e-09,1.3363507e-09,5.44633e-09,4.871935e-09,6.828043e-10,1.08233325e-08,1.1823098e-08,3.364919e-09,1.1937631e-09,2.6671458e-09,1.7407121e-09,0.00010392583,6.1819136e-09,7.0065345e-09,2.2159126e-09,1.5981994e-09,9.455104e-10,1.4989573e-09
3,4.167446e-09,0.0143028535,3.9137933e-09,3.5204026e-09,1.0345387e-08,0.0035117657,1.0039696e-08,1.1588973e-08,9.323294e-09,3.9185694e-10,1.0481586e-08,0.0011998662,2.9519308e-08,0.0023030676,0.19354746,0.01739407,7.054698e-09,0.0065572737,0.003798674,0.08279375,4.26417e-08,0.015548293,2.8309078e-08,0.011018305,0.22912952,8.0063485e-09,1.0193393e-08,3.9244417e-09,4.1364623e-09,6.6413564e-09,6.8626895e-09,8.30026e-08,2.6973388e-09,8.86025e-09,2.9918453e-07,2.7648062e-09,1.2715762e-08,0.230856,0.09342727,0.0341768,4.4294554e-10,4.095013e-08,1.930731e-08,0.001285497,0.00042013178,0.057926238,1.6487215e-09,5.655302e-10,7.735639e-09,0.0008025444,2.1166822e-09,7.058698e-10,1.1967539e-09,6.4510475e-10
4,3.1132721e-10,7.700786e-09,7.217038e-07,9.17324e-09,2.296843e-09,6.0192535e-09,0.01898732,2.8677274e-09,3.5948657e-09,2.4681904e-10,4.748124e-09,6.102537e-09,2.5715185e-08,0.0029499475,1.9314552e-08,5.1537277e-09,8.890309e-09,3.16373e-08,8.687066e-09,0.03380389,0.035649203,3.5834532e-08,2.9313329e-08,0.017316643,0.2121912,4.498107e-08,6.285009e-09,3.1841498e-07,4.5438333e-09,0.002061988,0.27371556,0.04445231,0.016028889,1.8341547e-08,1.21434045e-08,4.9872493e-09,0.053733,2.881998e-09,5.792579e-05,0.0001455634,1.4505191e-10,3.4211958e-09,1.2393046e-08,4.755438e-09,3.2061973e-10,1.8254417e-08,0.2564379,9.096006e-10,0.029753216,0.0027141066,1.0477758e-09,9.026968e-10,6.378028e-10,5.756625e-10
5,3.6589112e-10,1.7255527e-06,1.3900514e-08,4.980177e-09,0.013739454,6.0371517e-09,0.0010587764,3.1066825e-09,0.0028848497,2.4031846e-10,2.7751893e-08,3.2311863e-08,9.7435326e-08,5.572485e-09,4.5308646e-09,3.1430734e-08,1.7226771e-08,7.736668e-09,0.056024946,7.661314e-09,1.1659792e-08,3.9005545e-09,4.7216986e-09,2.023142e-09,1.937024e-09,7.676638e-09,0.038856234,7.520566e-09,2.2512612e-08,6.3021415e-09,7.606269e-09,5.771056e-09,0.3157215,0.26557788,0.08175721,0.0039487523,0.04770304,5.215134e-09,3.541961e-09,3.0383218e-09,1.7890657e-10,2.0571028e-08,2.8453405e-08,3.7995087e-09,3.2728686e-10,3.5868515e-09,0.13720942,5.820979e-10,4.477391e-09,1.7560621e-08,1.9005146e-08,8.8839347e-10,9.2941904e-10,0.03551585
6,2.8832264e-10,3.912692e-08,4.1468513e-09,1.6828999e-08,8.1184615e-09,0.0008631649,3.306948e-08,0.020914333,0.010125735,2.1357753e-10,5.8525666e-07,9.279208e-09,1.697084e-08,2.2672978e-08,0.01549247,2.817408e-05,5.979856e-09,0.0017791588,1.13899175e-08,0.006192815,1.2761987e-08,1.4067923e-08,1.1367389e-08,1.5072152e-08,0.29311234,0.30298078,0.012722424,4.6934918e-08,1.7039099e-08,3.9739074e-09,1.018886e-07,0.0640482,0.27173907,3.782859e-08,3.8510013e-09,2.5939706e-09,2.672079e-07,4.681585e-10,8.420054e-10,1.5020813e-09,1.6618182e-10,4.6875064e-09,6.185247e-09,1.3740616e-09,2.9054992e-10,1.4047121e-09,7.9051804e-10,5.6148325e-10,5.725104e-09,8.48506e-09,7.6348233e-10,5.4315774e-10,3.1654332e-10,5.45006e-10
7,7.5699313e-10,4.899576e-07,9.632571e-09,4.2677772e-09,0.026931023,1.3226511e-09,3.3726937e-09,0.2359594,0.02637256,8.439249e-10,1.6751624e-08,0.0058141146,0.009019307,7.0142305e-09,0.12455057,0.032735284,3.8499643e-08,1.301264e-08,4.253948e-08,3.6194105e-09,3.7949905e-09,4.0671955e-09,3.870943e-09,2.5379827e-09,3.663926e-09,3.129169e-09,7.0780675e-09,2.401306e-09,1.925563e-09,2.8244846e-09,6.2141674e-09,3.2754492e-09,2.990776e-09,7.821183e-09,1.2331176e-08,2.026433e-09,5.8290373e-09,0.1473015,2.5159566e-09,2.7804459e-09,2.3740843e-10,2.338314e-09,2.1668896e-09,2.6177056e-09,4.373777e-10,2.0075612e-09,1.3747206e-09,1.5390917e-07,1.3139474e-08,1.305413e-08,0.03644832,8.7607216e-10,2.284365e-09,0.3548672
8,5.1113525e-10,8.7627406e-08,9.992429e-09,4.9160796e-08,4.881928e-08,2.909507e-09,0.010296204,8.431957e-09,1.3264972e-08,4.852291e-10,5.943212e-08,2.0484775e-07,6.9373804e-09,1.14901635e-08,1.4393709e-08,1.6137461e-08,6.412189e-09,0.024894038,2.2439814e-08,0.00868411,1.0051456e-08,2.2075854e-08,0.00010047784,3.700472e-05,0.41927302,0.021858137,0.006679774,7.989486e-08,5.285867e-09,4.2567607e-09,5.8114917e-09,1.0609455e-06,0.41288298,0.049149144,0.0149194,8.118585e-09,0.029607847,0.001216255,1.0542224e-09,1.5012436e-09,2.0639786e-10,2.5042262e-08,5.0946483e-09,1.0429095e-09,0.0003998963,1.2469284e-09,9.097087e-10,1.5361368e-09,3.3502296e-09,1.0386892e-08,7.4352086e-10,7.533269e-10,5.671674e-09,6.04613e-10
9,3.4694564e-10,4.064748e-07,6.9443558e-09,8.892229e-09,7.0083654e-09,2.7743345e-09,5.135705e-09,0.20215695,0.034701657,3.117986e-10,9.901724e-09,8.405551e-09,1.4060976e-06,2.349657e-08,0.5023174,0.00017517399,7.344717e-09,2.9544061e-08,3.747758e-08,6.740936e-08,4.499446e-09,5.2433093e-09,6.4026673e-09,2.7781073e-09,7.58994e-09,1.2403606e-08,5.24167e-09,3.3019538e-09,3.7465058e-09,3.4670047e-09,6.302501e-09,1.4602952e-08,0.25575277,3.7849148e-08,1.7969203e-08,2.4660294e-09,0.0043690847,7.1504724e-10,1.2047994e-09,1.5981024e-09,2.1593788e-10,3.4773655e-09,2.9849372e-09,1.1977411e-09,3.9506293e-10,1.5797612e-09,8.5299573e-10,0.00052484125,4.7138595e-09,8.811484e-09,1.0452954e-09,7.243831e-10,4.2671253e-10,7.497741e-10
