,Alveolar_Type_1,Alveolar_Type_2,B_cells,Basal,CD4_T,CD8_T,Ciliated,Club cell,DC,Endothelial,Fibroblast,Macrophage,Mast,Monocytes,Muscle_cells,NK,Plasma,Proliferating_Macrophage,Proliferating_NK_T
0,9.480972e-08,7.844643e-08,5.0529417e-07,1.5686688e-07,4.2619487e-07,1.1566022e-07,8.050601e-08,1.01937175e-07,1.4254109e-05,0.06611524,0.11953349,0.72909397,6.1888734e-08,0.06461993,0.020613268,1.3635669e-07,6.261843e-08,7.764456e-06,1.677274e-07
1,9.1010554e-07,0.47632897,0.001548315,1.42684075e-05,6.847826e-07,2.5023112e-07,0.0007146333,0.009523342,7.159377e-07,8.471787e-08,8.927155e-08,0.45772192,3.6814555e-08,0.045117162,4.74409e-07,0.0023424844,4.7941104e-08,0.006685338,2.7510688e-07
2,2.7873608e-07,0.11042743,0.0072834375,1.6893131e-07,9.717518e-07,0.0054853754,8.989195e-08,0.020796575,0.00472817,0.035857376,2.0123115e-07,0.59293187,8.67636e-08,0.18606128,1.2754148e-07,0.034156147,0.0022678906,1.7624861e-06,7.902738e-07
3,1.72129e-07,1.3908941e-07,0.18235275,1.4696253e-05,0.025388813,2.5706381e-06,1.5988881e-07,0.008998977,2.0830132e-07,0.67167944,0.08671605,1.3775022e-07,1.3501801e-07,2.2408538e-07,0.013782214,2.970405e-07,0.011062621,1.4398039e-07,2.5045117e-07
4,0.055951726,4.381942e-07,0.0021797083,0.5571166,1.359823e-06,1.7649621e-07,0.015326445,0.14998183,1.9393549e-07,0.15093671,0.006580975,8.5384144e-08,0.06192271,1.6491964e-07,2.1478276e-07,1.181672e-07,9.5454176e-08,9.026457e-08,2.7879304e-07
5,2.8587834e-07,2.5682078e-07,1.1101332e-06,3.142005e-07,0.34833524,8.7174675e-07,3.2048857e-07,0.0034324282,0.0076469844,0.64057523,4.772589e-07,3.3004164e-07,2.2852583e-07,1.5545014e-06,6.0805655e-07,4.801611e-07,1.9544397e-07,2.6632802e-07,2.835021e-06
6,1.4685233e-07,2.0976357e-07,8.225807e-06,1.2075371e-07,6.317397e-07,4.0165687e-06,7.717393e-08,0.3724233,0.017762553,0.23382139,1.5506194e-07,0.30626246,0.00021424213,5.1227056e-07,0.0011092278,0.058602195,5.442779e-08,0.009789747,7.18308e-07
7,1.8051065e-07,1.2238552e-07,1.7975096e-06,2.6145756e-07,9.0883583e-07,2.3277521e-07,2.0507613e-07,2.2921621e-07,1.0362112e-06,0.4868008,3.1692207e-07,0.5115702,1.06501645e-07,2.4701747e-05,0.0015955678,3.6730185e-07,1.0568996e-07,2.2774198e-06,4.3239586e-07
8,1.023642e-07,1.10785955e-07,2.2288084e-07,1.2117901e-07,3.6287415e-07,3.5545267e-07,7.882516e-08,0.0012838604,8.974844e-07,2.0089287e-07,3.3364634e-07,0.8440363,7.184551e-08,0.04129397,0.07119842,0.020519514,6.755606e-08,0.02166458,4.1779757e-07
9,9.138809e-07,0.061486594,6.706394e-07,0.05343584,0.05600953,3.6331942e-06,3.3286221e-07,0.5790303,4.7532768e-07,3.030131e-07,3.0035872e-07,2.5876766e-06,1.3762012e-07,2.2954313e-05,3.5110115e-06,0.2397019,1.3989909e-07,0.010299038,8.7624244e-07
10,7.4779854e-07,0.6905667,4.2934503e-06,5.2513906e-07,0.019174408,4.3759516e-07,1.6553327e-07,0.011191241,0.025923377,1.8261063e-07,2.6090996e-07,0.18689275,8.417959e-08,0.066240676,1.4258826e-07,3.3642735e-07,1.1180126e-07,3.5296684e-06,2.6238843e-07
11,3.0627675e-07,2.2199968e-07,5.9478305e-07,2.4252e-07,0.10821717,0.22108066,1.1977582e-07,0.0051220525,0.005682016,0.6554832,2.076417e-06,1.8910653e-07,1.504494e-07,0.0044011786,2.5273666e-06,1.8091442e-06,1.7052126e-07,1.7780206e-07,5.1258826e-06
12,7.751305e-07,0.6349224,0.0010950374,5.6193044e-06,9.248476e-06,2.4384227e-07,1.7383036e-07,0.012720849,0.001833662,0.344961,5.6330606e-07,1.12653964e-07,9.007583e-08,2.9833595e-07,0.0033139507,1.5071852e-07,0.001135555,9.8876285e-08,2.2947016e-07
13,2.5251525e-06,4.268819e-07,0.018449945,3.186552e-07,0.006877739,4.0981502e-07,2.3551306e-07,0.0062477025,7.26746e-07,0.26850867,0.06330584,2.4534128e-07,0.1901972,0.44640625,4.8974584e-07,4.085522e-07,1.0285325e-07,2.0385822e-07,5.575765e-07
14,2.7955863e-07,1.6145671e-07,3.5793957e-07,0.0055789887,1.9572155e-07,8.219598e-08,5.297374e-08,0.01025582,1.4550163e-06,0.0482206,1.1794942e-07,0.86289674,5.2283486e-08,3.0509148e-06,2.0017211e-07,9.751989e-08,5.0051998e-08,0.07304152,1.1690425e-07
15,9.051636e-08,8.811205e-08,0.0015070093,1.0277532e-07,1.2134034e-06,1.5538913e-07,7.3185845e-08,0.006367557,7.494334e-07,0.24346185,3.4985138e-07,0.7475091,7.831696e-08,1.201038e-06,4.257445e-07,1.1653541e-07,0.0011462979,3.3912302e-06,1.9849838e-07
16,2.9348774e-07,2.6927415e-07,7.688424e-07,3.4893083e-07,3.8202487e-07,4.6839295e-07,1.561825e-07,0.0064757806,2.7838777e-07,0.9864724,7.7819385e-07,2.844345e-07,1.8609258e-07,2.6085883e-07,1.165954e-06,2.6534403e-07,0.0070451894,2.5243315e-07,3.3680203e-07
17,3.614791e-07,0.4602808,0.07254173,0.0037647604,2.563545e-07,1.13625866e-07,1.2285727e-07,0.00631506,6.0238194e-06,8.709383e-08,2.3534443e-07,0.3587748,5.637341e-08,5.308606e-07,0.0013124357,9.859808e-08,0.0044748783,0.092527375,1.8755928e-07
18,0.10301269,3.2518605e-07,0.00082829036,0.65238816,0.030907882,0.020567529,0.0042909295,0.044717588,1.9806824e-07,0.13233633,5.0044343e-07,8.54532e-08,2.749288e-07,7.261761e-07,4.717297e-07,2.2567029e-07,8.719007e-08,9.690538e-08,0.010947582
19,8.691611e-07,0.4001616,3.9732694e-07,5.231603e-07,2.6292895e-07,2.3524751e-07,1.6667791e-06,0.0024111394,7.3772014e-07,0.25229612,2.2645712e-07,0.3451177,5.2562807e-08,7.15667e-07,1.8021905e-07,1.2991005e-07,1.2196571e-07,7.0949254e-06,2.0022722e-07
20,3.8836586e-07,0.004627535,6.843816e-07,2.3998814e-07,0.019851968,3.251621e-06,0.0013352039,1.7824016e-07,2.3674902e-06,0.16550022,3.6511312e-07,0.55234027,1.6433667e-07,4.110445e-06,4.7864927e-07,0.25632322,1.6891671e-07,7.1649442e-06,1.9436861e-06
21,1.1572978e-06,0.5601016,6.3645325e-06,8.287184e-07,0.059456173,0.0102498,0.0026693593,0.026633436,4.576836e-07,0.33947277,0.0014059626,1.1981173e-07,1.15414934e-07,3.0165828e-07,9.910977e-07,2.1057643e-07,9.484105e-08,1.0828737e-07,2.1243557e-07
22,0.28198484,0.5706125,0.001578399,2.0486673e-06,0.028294845,8.125318e-07,2.6116328e-07,0.0134428665,3.3229605e-06,9.3226464e-07,0.0017573795,1.4039465e-07,6.2884425e-08,0.09234706,0.00996162,1.2342036e-05,6.1966084e-08,1.112771e-07,3.9970618e-07
23,0.0016860461,3.5863337e-07,1.3987654e-06,1.5924002e-07,0.015426299,5.154691e-07,8.236813e-08,0.0072112936,0.019316198,0.114086166,2.7241228e-07,0.7112683,1.1654322e-07,0.092561476,1.2734954e-07,0.007189836,8.37187e-08,2.6465138e-06,0.031248586
24,7.237673e-08,7.355141e-08,2.25894e-07,8.445099e-08,3.4908695e-07,0.0050089383,4.727843e-08,0.0009607508,2.7840692e-06,7.6763854e-08,9.865709e-08,0.92160726,4.6513367e-08,4.387778e-07,1.7992956e-07,0.045130517,0.00062209787,0.026664108,1.8791328e-06
25,0.16430157,0.5412214,0.027193192,4.3597483e-06,0.026372237,2.2676109e-07,1.4469059e-07,0.020707073,5.1411496e-07,0.14087091,3.0155863e-07,0.037115697,0.005378082,0.025705202,0.0074748606,1.8348878e-07,7.4311046e-08,0.0036537778,2.587922e-07
26,1.5629702e-06,0.68747675,3.210935e-05,0.00030057877,0.0068914373,0.091338135,8.4425416e-08,0.053935483,5.3036973e-07,0.16002105,2.4381663e-07,1.327178e-07,1.4293079e-07,5.994996e-07,2.3906045e-07,5.329017e-07,7.180391e-08,1.1387864e-07,2.4099307e-07
27,0.015458271,0.58352685,1.2891653e-06,2.05238e-06,0.088112496,3.193778e-07,0.17792325,2.2168057e-07,1.7209549e-06,1.2029089e-05,1.622455e-07,3.9434585e-07,0.13363963,3.6168765e-07,1.9016146e-07,1.4960922e-07,0.0013197392,3.051341e-07,4.4281256e-07
28,2.2145711e-07,3.1154306e-07,5.37129e-06,2.5676792e-07,1.2523165e-06,2.6130036e-07,2.541056e-07,0.025416452,2.3695982e-06,0.37493786,3.389409e-07,2.1122017e-07,0.5996324,7.497633e-07,6.150525e-07,1.9478756e-07,1.1963554e-07,1.9081558e-07,5.3229456e-07
29,1.7275852e-07,2.2772025e-07,2.683686e-06,1.2702768e-07,0.0032436538,8.0893403e-07,0.00065807253,0.0024834098,0.3671725,2.542984e-07,1.8770336e-07,4.259329e-07,0.16579416,0.35508248,1.3964008e-07,0.102684155,1.0067143e-07,2.458248e-07,0.0028762228
30,1.528688e-06,2.9994496e-06,4.2566822e-07,0.0022222323,8.8586677e-07,1.683176e-07,2.2392904e-07,2.9810158e-07,5.943401e-06,0.087250724,1.7872152e-07,0.5898955,0.18896794,0.11694244,2.7963029e-07,1.3969758e-07,7.9753384e-08,0.014707595,2.686785e-07
31,1.4960894e-07,1.297843e-07,0.055689476,0.00079942617,2.2952682e-07,0.004252042,7.6792745e-08,0.001512057,5.553547e-07,4.612332e-07,0.0049651666,0.09942103,6.946163e-08,5.494131e-07,0.7664523,1.6079551e-07,0.0071376185,0.05976839,1.3001087e-07
32,3.1350944e-06,0.56639886,0.0069522294,4.226705e-06,9.542099e-06,0.13087854,2.4191374e-07,3.160306e-07,2.0298332e-06,0.29569262,6.5162646e-07,2.3589926e-05,2.8763753e-07,2.4734225e-05,5.9762897e-07,2.7630244e-06,2.0658622e-07,4.6229798e-06,7.033339e-07
33,4.4986538e-07,1.8982517e-07,6.0674637e-07,0.0053825183,4.168111e-07,5.1617644e-07,2.0823391e-07,0.0022930952,1.6455863e-06,0.18006045,4.5650842e-07,0.5983983,0.0010534194,1.163074e-06,3.412469e-07,0.18280461,1.16467255e-07,0.029999949,1.5692843e-06
34,8.258309e-07,6.945107e-07,8.986439e-06,7.2758263e-07,0.08095375,0.11447002,4.1140092e-07,3.2766997e-07,1.085101e-05,0.5075678,6.696828e-07,8.1520784e-07,5.8462183e-07,9.782126e-07,4.860641e-07,0.24366093,2.6467166e-07,8.2959144e-07,0.05332003
