,endothelial cell,mast cell,pancreatic A cell,pancreatic D cell,pancreatic PP cell,pancreatic acinar cell,pancreatic ductal cell,pancreatic epsilon cell,pancreatic stellate cell,type B pancreatic cell
0,1.1080677e-08,3.505765e-08,0.35123158,2.0308102e-07,2.8156712e-05,0.36980504,0.17469096,0.061843984,1.280743e-08,0.04240001
1,9.739116e-09,5.428809e-08,0.10034381,5.3254337e-07,0.0021579007,0.43902168,0.27000955,0.06755024,8.119091e-09,0.12091625
2,8.798332e-09,6.29028e-09,0.37473834,0.002914948,0.3743618,8.914421e-09,5.0896203e-09,0.15385327,3.1238059e-09,0.094131686
3,4.66687e-09,8.023756e-09,0.2853866,0.21922922,0.1602595,7.559369e-09,4.4946686e-09,0.045398995,3.6192507e-09,0.28972572
4,3.8588183e-08,0.00010469715,0.18365636,0.18414298,0.15642674,0.016997509,0.04967751,0.15152213,0.12842655,0.12904547
5,5.9054783e-09,0.0010595651,5.0974027e-08,1.0842999e-05,0.038085178,0.48086098,1.595805e-08,0.0153453825,4.9080717e-09,0.46463805
6,0.010519005,0.120419055,1.2169207e-06,5.2638313e-07,3.6719874e-07,0.35880244,0.3531036,0.1571537,3.648339e-08,9.776338e-08
7,3.9300523e-09,2.4758172e-08,0.1867473,0.30766296,0.013769572,0.24592856,7.918146e-09,0.13088976,4.013226e-09,0.11500183
8,3.7048433e-09,7.372657e-09,0.29456925,0.25847438,0.046488997,9.331335e-09,4.8670077e-09,0.10634487,2.6273759e-09,0.2941225
9,1.21368195e-08,1.2513786e-08,0.07031661,0.27855983,0.012169398,0.28017238,8.820347e-09,0.08285204,9.1158645e-09,0.27592966
10,0.0015310711,0.027001612,5.7720268e-08,0.26800603,2.430732e-07,0.28892085,0.28455308,0.07834539,5.611967e-06,0.051635977
11,1.2278693e-08,6.2234617e-09,0.2850989,0.20018502,0.284041,6.4732344e-09,3.950729e-09,0.1636184,3.4419299e-09,0.06705664
12,4.1342036e-09,1.5154665e-08,0.23899929,0.32681832,0.09888909,8.041244e-09,4.8417648e-09,0.15773697,5.6036615e-09,0.17755641
13,3.5608654e-08,1.8181007e-07,0.14679664,0.28286365,0.27327493,2.0230596e-08,0.119119495,0.1778495,7.2842936e-09,9.553198e-05
14,0.00016384253,7.530348e-09,0.26715788,0.13056599,0.2595713,6.2089596e-09,3.7018217e-09,0.09383056,3.0393408e-09,0.24871044
15,0.37489375,0.012426832,0.21497852,3.1935514e-07,3.1857343e-07,2.2310878e-08,0.30535915,0.09233951,1.0226215e-06,5.9745713e-07
16,1.0666404e-08,3.3009552e-08,0.41164294,0.38662037,0.0021206478,1.4138918e-08,4.078801e-08,0.055065926,5.7812817e-09,0.14455017
17,0.026658637,0.08044333,0.26825267,0.019698791,0.06838655,8.84117e-06,0.28075105,0.25575927,5.613001e-07,4.032695e-05
18,8.7286e-07,0.024651455,1.2490332e-07,1.4849671e-06,3.044325e-07,0.34230295,0.33693737,0.10119375,2.1320774e-08,0.19491166
