,endothelial cell,mast cell,pancreatic A cell,pancreatic D cell,pancreatic PP cell,pancreatic acinar cell,pancreatic ductal cell,pancreatic epsilon cell,pancreatic stellate cell,type B pancreatic cell
0,1.0253259e-08,1.01218085e-07,0.33699757,3.9311342e-07,0.011234222,0.39833874,0.16469653,0.017444432,9.625122e-09,0.07128796
1,6.9233344e-09,6.820252e-08,0.06537989,0.0023959486,0.029539056,0.45987016,0.3029236,0.014980681,5.525069e-09,0.12491061
2,5.867409e-09,5.559985e-09,0.40691546,0.035103258,0.40250915,5.1073243e-09,3.2157694e-09,0.076816626,2.4658962e-09,0.07865546
3,4.118104e-09,8.274087e-09,0.3091815,0.20901504,0.17003632,4.5989466e-09,3.0785439e-09,2.6549271e-06,2.9077631e-09,0.31176448
4,4.462611e-08,0.0009853079,0.19535498,0.19387424,0.16389683,0.0020492654,0.09358927,0.11116554,0.114876114,0.124208376
5,4.815505e-09,0.0010589437,1.9585487e-08,4.0293133e-05,0.027631164,0.5083869,7.754929e-09,6.659449e-07,3.858438e-09,0.46288204
6,0.014037433,0.161085,5.33884e-07,0.03550225,1.0109453e-06,0.34321952,0.33721268,0.10894141,3.5898807e-08,1.271341e-07
7,3.257975e-09,4.5654023e-08,0.18040928,0.341777,0.04866407,0.25788015,4.3374717e-09,0.06475563,3.1012688e-09,0.106513895
8,2.9477472e-09,7.4099553e-09,0.30843034,0.23005062,0.1245391,5.1836033e-09,2.9614748e-09,0.028564738,2.064401e-09,0.3084152
9,9.130264e-09,1.279546e-08,0.059410147,0.29657972,0.029647311,0.29998177,4.768269e-09,0.020091146,5.0996727e-09,0.2942899
10,0.0017053098,0.039436355,2.80169e-08,0.27223715,1.6198105e-07,0.29443833,0.2892254,0.014305079,5.645692e-07,0.088651635
11,7.5605975e-09,5.7353753e-09,0.3224189,0.19036497,0.3196728,3.934131e-09,2.512807e-09,0.10600923,2.6822056e-09,0.0615341
12,4.049917e-09,2.3330921e-08,0.18611747,0.39008695,0.1329306,5.26353e-09,3.4649204e-09,0.10145084,4.585936e-09,0.18941407
13,5.043616e-08,0.0011574887,0.1498002,0.31437188,0.3068997,9.888374e-09,0.10604928,0.10323412,6.887316e-09,0.01848729
14,8.889885e-05,7.067977e-09,0.30558905,0.1121859,0.2986132,3.8578434e-09,2.4221176e-09,0.042861044,2.5251956e-09,0.24066196
15,0.41352987,0.018770257,0.25349188,1.3243492e-06,2.105285e-06,1.1514347e-08,0.259839,0.02979847,1.7459496e-07,0.024566906
16,1.7252544e-08,1.4153542e-06,0.43755606,0.41376197,0.012387422,8.198094e-09,4.506473e-08,0.0032627867,5.892171e-09,0.13303015
17,0.026660478,0.09388525,0.26321703,0.021193199,0.14481845,8.542281e-07,0.27377993,0.17642069,1.2633445e-06,2.2736076e-05
18,6.4135133e-07,0.041157834,5.5342575e-08,2.304103e-06,2.7509859e-07,0.3507277,0.34374604,0.03337251,2.0206649e-08,0.23099272
19,8.715841e-08,0.00021046546,0.37987775,0.005836921,0.4272807,0.17316772,2.8885855e-08,0.013626267,1.159163e-08,1.5685794e-07
20,0.072931334,0.15718661,1.9418312e-08,2.2632669e-07,0.1992739,1.05872e-06,0.55958635,3.1548575e-06,0.011017289,4.8525838e-08
21,2.8493679e-09,6.890944e-09,0.31883147,0.31949487,0.16384111,4.133337e-09,2.786916e-09,0.07798604,2.132839e-09,0.11984652
22,0.30386493,0.08593953,1.972815e-07,0.018166276,6.8398144e-06,2.4746655e-08,0.2974245,2.1744734e-06,0.000115894254,0.2944796
23,2.6543379e-09,5.696304e-09,0.24091204,0.16538775,0.23914097,0.056139648,4.591634e-09,0.08002605,1.89926e-09,0.21839358
24,0.015540437,0.05326515,0.2463436,2.1189477e-07,4.2003072e-07,0.314841,0.3158994,0.05410958,8.933996e-08,3.8322693e-08
25,5.111006e-09,8.5622895e-09,0.5151529,1.7345204e-05,0.33744755,5.802445e-09,3.7578456e-09,0.06990231,3.1341052e-09,0.077479854
26,0.15500714,0.07516775,0.15170348,0.15256579,0.15026502,1.0309435e-08,2.6585476e-05,0.1328742,0.027463654,0.15492645
27,7.2826762e-09,2.8147264e-07,0.5900809,0.15936151,2.6426183e-06,0.029126136,6.3670504e-09,0.07861487,0.14281337,2.711917e-07
28,0.0006992392,0.042714644,0.017398713,0.22650082,0.17024714,3.2479326e-07,0.23480853,0.09363026,0.000157841,0.2138425
29,1.3562094e-07,5.812406e-07,2.8210424e-08,2.1016783e-06,0.29897767,1.1390125e-08,2.5050877e-08,0.016257767,0.48448563,0.20027606
30,0.017381502,0.076981656,0.021079682,0.18060446,0.039228007,0.19584572,0.19609047,0.085973196,7.6718527e-07,0.18681452
31,0.0004854079,0.015664669,2.5645603e-08,0.04349845,1.5078113e-07,0.32179555,0.31805322,0.0007331571,2.3623347e-08,0.2997693
32,0.0547855,0.0016703004,2.8527847e-08,3.0085175e-08,2.3662345e-08,0.4387095,0.4607562,4.1933216e-08,0.04407838,1.0434964e-08
33,4.7935163e-09,6.573769e-09,0.0006064812,0.3135078,0.26150537,4.4396713e-09,3.2600198e-09,0.12355822,2.88465e-09,0.3008221
34,0.00035050805,0.0026031605,0.29591003,1.01893605e-07,0.013412612,2.1173665e-08,0.5933603,0.0943633,1.5220172e-08,2.9875885e-08
35,2.2620015e-09,5.664755e-09,0.29256517,0.25319523,0.16052133,3.8871755e-09,2.3074755e-09,4.2998465e-05,1.8346763e-09,0.2936752
36,3.6483554e-09,2.7459935e-08,0.0019503856,0.36069798,0.33784643,0.08880757,4.2189687e-09,0.09167264,4.8773607e-09,0.119024955
37,2.9416534e-09,1.0832267e-08,0.22302625,0.20085248,0.22175223,4.1972106e-09,3.1442378e-09,0.17025939,2.4402986e-09,0.18410967
38,2.7127338e-09,6.3288597e-09,0.27883437,0.14470802,0.27347445,4.4971284e-09,2.6025262e-09,0.10356215,2.2043836e-09,0.19942108
39,9.344217e-09,0.00033341922,0.37099385,4.724523e-07,0.069334194,0.3786635,0.12533705,0.05533748,1.0257868e-08,7.819761e-08
