,Connecting Tubule,Distal Convoluted Tubule,Endothelial Cell,Intercalated Cells Type A,Intercalated Cells Type B,Leukocyte,Mesangial Cells,Principal Cells,Proximal Tubule,Thick Ascending Limb
0,0.14174935,0.024077924,0.021597466,0.31472093,0.024728416,0.016961876,2.103009e-05,0.22628139,0.22986019,1.3992541e-06
1,1.5200309e-05,2.8750248e-06,0.045912188,0.12557587,0.08695752,0.051926695,4.1765952e-07,0.11935852,0.123057365,0.44719338
2,0.006473579,0.11655033,2.9471432e-06,1.6029896e-06,4.2951033e-06,0.058195937,0.18159692,0.12046765,0.51670337,3.3333843e-06
3,0.3981133,0.025431473,0.13255809,0.038921673,1.718092e-05,8.734045e-07,0.03868237,4.7039825e-06,0.36626843,2.0169539e-06
4,0.0693899,2.0295422e-06,0.20215401,0.12778962,1.920604e-06,0.023843521,1.1515051e-06,0.47530508,0.09649641,0.0050164
5,2.7305737e-06,0.04484005,0.012802933,0.028775875,0.10633736,0.0045978576,0.027879948,0.4477299,0.16710444,0.15992895
6,9.000592e-06,0.018839212,0.12084738,0.041467704,1.5591681e-06,4.3380875e-05,0.47960678,8.67318e-06,0.3391743,1.9043168e-06
7,0.040237535,0.4174218,0.039258316,0.009475366,0.05860778,0.019157745,0.082835354,0.08153652,0.25138283,8.675639e-05
8,0.23011295,1.040107e-05,0.037515182,7.149117e-06,9.192235e-06,1.804103e-06,0.0783611,2.6713494e-06,0.6539778,1.776951e-06
9,0.26546428,0.16199578,0.17579219,1.884424e-06,0.043508813,0.044432748,6.327529e-06,6.551816e-06,0.06514105,0.24365035
10,0.12278846,0.08024566,0.05570952,0.0792199,0.016838035,0.016785355,0.00019512558,0.32568327,0.11082067,0.19171397
11,4.940497e-06,0.1633826,0.04218319,0.03180509,2.292436e-06,0.022604715,0.010489903,3.8557273e-06,0.05822168,0.6713018
12,0.011600477,2.4784338e-06,0.11551633,0.06328755,0.047279842,0.029001776,7.7450595e-06,0.55946183,0.17383797,4.037938e-06
13,0.24469426,2.3144862e-06,0.013562945,0.44256926,3.1487668e-06,0.006744571,0.048407163,0.00019299735,0.24377258,5.072182e-05
14,0.044368662,0.48154736,0.022210043,0.02713572,0.08977455,3.0035295e-07,0.01090394,1.5555992e-06,0.019921722,0.30413622
15,0.31258005,2.4831184e-06,0.13489747,8.1811135e-07,7.768129e-06,0.04296168,0.14207554,0.29277703,5.0177355e-06,0.074692234
16,7.606309e-06,0.6075116,0.08183184,1.7999913e-06,0.05140146,0.019572195,0.00053348305,0.0054962244,0.23364237,1.3484294e-06
17,5.207196e-06,0.1684081,0.036454212,1.27498e-06,0.03144936,0.047439717,5.860438e-07,0.2863493,0.0020317358,0.4278605
18,0.1928968,0.051751956,0.10228696,0.12049277,5.48755e-06,0.03874039,5.601249e-07,0.25146282,0.24236037,1.9626625e-06
19,0.22002095,7.5586913e-06,5.430389e-07,0.04642783,0.011643354,1.1144426e-06,0.042494696,0.56871927,0.110683165,1.5286709e-06
20,1.337277e-05,1.2537187e-06,0.19935727,0.07652817,3.3164215e-06,0.10234465,0.34182805,0.036010444,0.19133994,0.052573513
21,0.09237316,1.8162478e-05,0.26481086,2.9392006e-06,0.045997303,6.1570177e-06,0.14004892,0.12785949,0.32887256,1.036144e-05
22,0.090061426,0.11794138,0.039550893,0.22530046,0.28527534,0.0001265295,1.4211274e-06,8.4791545e-06,0.24172437,9.667996e-06
23,0.20305693,8.529993e-06,0.12425896,3.290286e-05,1.6883736e-06,0.019327538,0.074100345,3.5096368e-06,0.029445559,0.5497641
24,0.048943706,0.16404086,0.03521216,1.0031335e-06,9.4486234e-07,0.0068789544,0.04970448,0.37312874,0.017922914,0.3041662
25,0.12478655,5.446558e-06,0.03188252,0.0780037,2.5998313e-06,0.005020086,3.1047512e-07,0.13920477,0.083528005,0.53756607
26,5.846715e-06,1.920044e-05,0.15088202,0.03387833,0.11836786,0.007476408,0.036083188,0.216677,0.43660885,1.3171082e-06
27,2.4735605e-06,0.11781912,5.177263e-07,1.9076467e-06,1.6498302e-06,8.064995e-07,7.473074e-07,1.1401725e-06,0.227486,0.6546857
28,0.000347686,1.5013215e-06,0.055558644,6.4908895e-06,7.423873e-06,1.6233014e-06,8.600972e-06,0.14925322,0.35348794,0.4413269
29,0.24038202,1.1662885e-06,2.5626957e-06,0.17221381,0.03632645,0.035762277,0.02970865,0.34748706,0.13811503,9.816448e-07
30,1.5157276e-05,0.02527529,0.06523437,0.24768704,0.06300392,0.03628124,0.021354053,0.3878876,0.12947452,0.023786914
31,0.29219723,0.039947283,0.16306889,0.10165944,1.0508403e-05,0.09242572,0.13369764,4.002574e-06,0.17698242,6.9508533e-06
32,0.22923025,0.22709943,0.048459902,0.11089781,0.008259451,0.0040212236,0.044072483,0.03289153,0.10698918,0.1880787
33,0.16015147,0.08893628,0.03999335,0.044572376,1.0851755e-06,0.0032837263,8.406028e-06,0.1394898,0.3950831,0.12848043
34,5.001024e-06,4.1493845e-06,0.029872812,1.6438551e-06,8.7701966e-07,0.01256142,1.5604181e-06,0.097018234,0.07120138,0.78933287
35,0.21426636,0.0120303,0.015541756,0.23641421,0.058658995,4.5895616e-05,3.8242583e-06,9.000397e-06,0.1955558,0.26747388
36,6.2170684e-06,1.7082033e-06,0.011823386,2.2915413e-06,0.075200744,0.031491194,0.08880558,0.6294819,0.142965,0.02022199
37,2.9425867e-06,0.08404581,5.237344e-07,6.811442e-06,0.048536558,0.05883847,0.052083526,0.09841953,0.3953354,0.26273045
38,0.11535112,3.1763495e-06,0.014508198,0.100080624,0.12151536,5.435326e-06,7.174903e-07,0.46629098,0.13733713,0.044907212
39,0.09466688,2.876785e-06,0.05911645,0.16720882,0.0100443205,0.0070519866,0.3667629,0.15681383,0.13833115,7.8536306e-07
40,1.07528585e-05,5.4487136e-06,0.0580338,1.9850233e-06,0.05431888,0.055465076,7.969749e-07,3.414311e-06,0.16271773,0.6694421
41,0.12767927,0.30602807,0.09631284,0.10272334,1.0187844e-06,0.043557953,0.019506827,0.19678816,0.07288228,0.034520227
42,0.093538,0.056269236,0.03854015,0.36008522,0.124650694,0.003588426,0.019465946,0.10498626,0.13485433,0.06402172
43,0.24228452,0.057991687,0.06094823,0.04592193,0.051791925,6.9451426e-07,4.150568e-07,0.3512752,0.081090726,0.1086947
44,0.18914476,0.01080987,0.054387163,0.04111935,0.056026086,0.034987338,9.3866134e-07,0.25103945,0.36247754,7.4961713e-06
45,0.21294549,3.723252e-06,0.18766724,0.29483303,0.09602798,0.02429367,1.2565198e-06,3.3026754e-05,0.18419331,1.2320113e-06
46,0.3894594,0.06155493,0.047116343,0.108903095,3.6285212e-06,1.5773059e-06,0.009081047,0.06906293,0.22528714,0.08952987
47,1.049959e-05,0.20105292,0.009000032,0.046983376,1.2681897e-06,0.034061994,0.04168933,0.218233,0.021737536,0.42723003
48,0.29494458,0.020833371,0.16774663,1.7117541e-06,3.1018408e-06,4.963951e-06,0.042050168,9.198262e-06,0.036081526,0.43832478
49,0.08773552,3.1408572e-06,0.011564209,0.08163378,0.06938921,0.039925776,9.811113e-07,0.5142458,0.19550069,8.383707e-07
50,0.092917524,0.04974193,7.053199e-07,8.7226636e-07,1.0603625e-06,0.043456905,0.041106,0.27854285,0.027055543,0.46717662
51,0.25192055,0.054115426,0.034035586,0.15758233,0.10657569,0.018026067,0.04911963,0.072327256,0.21238397,0.04391351
52,9.150042e-06,1.3926141e-06,0.059743214,0.023292486,0.022767851,0.047542073,0.058806963,0.38342953,0.2164346,0.18797277
53,1.08048e-05,0.029070374,3.293816e-07,5.822468e-07,6.1650474e-07,0.05764487,0.016942544,0.8963276,2.7737866e-07,2.0176255e-06
54,0.2519623,0.13669339,0.009020635,0.14745611,0.04187938,7.788222e-07,0.025665617,0.18435454,0.06632437,0.1366428
55,0.068610236,0.07692822,0.03560682,0.027884336,0.09729257,0.028265672,0.055234265,0.4149081,0.13202268,0.06324711
56,3.5580658e-06,0.16328429,0.059896994,4.3416636e-05,0.02174293,1.1103642e-06,0.063698,0.14491102,0.23538017,0.31103855
57,0.12148806,0.06313093,0.079791926,1.5950727e-06,5.7457173e-06,4.4748154e-05,0.12308982,5.202422e-06,0.22987942,0.38256252
58,0.38981822,4.037419e-06,0.0037523482,0.15298231,2.709954e-05,0.05029401,1.0430159e-06,0.23389497,0.13929719,0.029928753
59,0.121094815,4.9617297e-06,0.004969561,0.101961985,0.09803556,0.047743354,0.013515286,0.39671722,0.120768055,0.09518921
60,0.09231682,0.2514433,0.07992749,0.36299062,4.6357504e-06,5.793038e-07,0.0068756836,0.17779666,0.028643284,9.332107e-07
61,1.2293478e-05,0.32455525,0.06851408,6.139465e-06,0.036784444,0.018076684,3.4919065e-06,0.09034269,0.31076202,0.150943
62,0.13873424,5.7622896e-05,0.033481598,6.863331e-06,0.028377008,0.05277664,0.041339155,7.04319e-06,0.19032107,0.5148988
63,6.4053015e-06,0.48400813,0.020107333,0.065063216,0.119013235,1.6222192e-06,7.975677e-06,0.029112922,0.054754253,0.22792493
64,1.1740175e-05,0.26274788,2.4640938e-06,0.12567219,7.0945266e-06,8.7238556e-07,0.08940469,0.15694945,0.09394602,0.27125758
65,0.12132151,0.031005872,0.019878678,0.27579182,0.032124296,0.017519537,0.02987006,0.4476262,0.024861382,5.9306467e-07
66,0.15813571,0.09199606,0.0388428,0.04470398,0.012116277,4.0363085e-07,0.02782616,0.27557132,0.2485668,0.10224048
67,0.29893044,4.6738355e-06,0.028632808,0.03905476,0.021294871,7.575201e-06,1.6797169e-06,4.748454e-06,0.16003732,0.45203108
68,0.067521,2.9114142e-06,3.601228e-07,0.09057082,0.022670645,0.064723104,0.028808784,0.39474276,0.2394837,0.091475956
